"TABLE B.  ENVIRONMENTAL ACTION LEVELS (EALs)
Groundwater IS NOT Current or Potential Source of Drinking Water",,,,,,
,,,,,,
,>150m to Surface Water Body,,<150m to Surface Water Body,,,
CONTAMINANT,"1Soil
 (mg/kg)","2Groundwater
(ug/L)","1Soil
 (mg/kg)","2Groundwater
(ug/L)",,
ACENAPHTHENE,1.2E+02,2.0E+02,1.2E+02,1.5E+01,,
ACENAPHTHYLENE,1.3E+02,3.0E+02,5.5E+00,1.3E+01,,
ACETONE,9.2E+00,1.5E+04,9.2E-01,1.5E+03,,
ALDRIN,3.9E+00,1.3E+00,3.9E+00,1.4E-04,,
AMETRYN,1.1E+02,1.8E+03,5.0E+01,7.0E+02,,
"AMINO,2- DINITROTOLUENE,4,6-",7.5E+00,1.6E+02,8.5E-01,1.8E+01,,
"AMINO,4- DINITROTOLUENE,2,6-",4.6E+00,9.8E+01,5.2E-01,1.1E+01,,
ANTHRACENE,4.2E+00,1.8E-01,4.2E+00,2.0E-02,,
ANTIMONY,6.3E+00,1.8E+02,6.3E+00,3.0E+01,,
ARSENIC,2.4E+01,6.9E+01,2.4E+01,3.6E+01,,
ATRAZINE,2.4E+00,3.3E+02,4.5E-01,1.2E+01,,
BARIUM,1.0E+03,2.0E+03,1.0E+03,2.2E+02,,
BENOMYL,1.6E-01,2.8E+00,7.8E-03,1.4E-01,,
BENZENE,7.7E-01,1.7E+03,7.7E-01,7.1E+01,,
BENZO(a)ANTHRACENE,1.6E+01,4.7E+00,1.0E+01,2.7E-02,,
BENZO(a)PYRENE,1.6E+00,8.0E-01,1.6E+00,6.0E-02,,
BENZO(b)FLUORANTHENE,1.6E+01,7.5E-01,1.6E+01,6.8E-01,,
"BENZO(g,h,i)PERYLENE",3.5E+01,1.3E-01,3.5E+01,1.3E-01,,
BENZO(k)FLUORANTHENE,3.9E+01,4.0E-01,3.9E+01,4.0E-01,,
BERYLLIUM,3.1E+01,3.5E+01,3.1E+01,6.6E-01,,
"BIPHENYL, 1,1-",1.0E+01,5.0E+00,1.0E+01,5.0E+00,,
BIS(2-CHLOROETHYL)ETHER,7.9E-03,1.8E+02,7.9E-03,1.8E+02,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,4.0E-03,3.7E-01,4.0E-03,3.7E-01,,
BIS(2-ETHYLHEXYL)PHTHALATE,3.9E+01,2.7E+01,3.9E+01,3.0E+00,,
BORON,1.0E+03,3.4E+04,1.0E+03,1.0E+03,,
BROMODICHLOROMETHANE,1.6E-02,1.1E+02,1.6E-02,1.1E+02,,
BROMOFORM,9.5E+00,1.1E+03,2.0E+00,2.3E+02,,
BROMOMETHANE,2.2E-01,3.8E+01,2.2E-01,1.6E+01,,
CADMIUM,1.4E+01,3.0E+00,1.4E+01,3.0E+00,,
CARBON TETRACHLORIDE,1.0E-01,1.1E+02,1.0E-01,9.8E+00,,
CHLORDANE (TECHNICAL),1.7E+01,9.0E-02,1.7E+01,4.0E-03,,
"CHLOROANILINE, p-",2.7E+00,4.6E+02,3.6E-01,1.9E+01,,
CHLOROBENZENE,2.2E+00,2.2E+02,1.5E+00,2.5E+01,,
CHLOROETHANE,1.2E+01,1.6E+02,1.2E+01,1.6E+02,,
CHLOROFORM,2.6E-02,1.1E+02,2.6E-02,2.8E+01,,
CHLOROMETHANE,4.0E+00,1.9E+02,4.0E+00,1.9E+02,,
"CHLOROPHENOL, 2-",1.2E-01,1.8E+00,1.2E-01,1.8E+00,,
CHROMIUM (Total),1.1E+03,1.6E+01,1.1E+03,1.1E+01,,
CHROMIUM III,1.0E+03,5.7E+02,1.0E+03,2.0E+01,,
CHROMIUM VI,3.0E+01,1.6E+01,3.0E+01,1.1E+01,,
CHRYSENE,3.0E+01,1.0E+00,3.0E+01,1.0E+00,,
COBALT,8.0E+01,1.2E+02,8.0E+01,1.9E+01,,
COPPER,6.3E+02,2.9E+00,6.3E+02,2.9E+00,,
CYANIDE (Free),4.8E+00,1.0E+00,4.8E+00,1.0E+00,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",6.1E+00,5.2E+02,1.2E+00,7.9E+01,,
DALAPON,1.6E+00,3.0E+03,1.6E-01,3.0E+02,,
"DIBENZO(a,h)ANTHTRACENE",1.6E+00,1.3E+00,1.6E+00,8.0E-01,,
"DIBROMO,1,2- CHLOROPROPANE,3-",8.1E-04,4.0E-02,8.1E-04,4.0E-02,,
DIBROMOCHLOROMETHANE,2.9E-02,4.5E+02,2.9E-02,3.4E+01,,
"DIBROMOETHANE, 1,2-",1.0E-03,1.9E+01,1.0E-03,1.9E+01,,
"DICHLOROBENZENE, 1,2-",7.5E+00,1.0E+02,1.1E+00,1.4E+01,,
"DICHLOROBENZENE, 1,3-",4.2E+01,3.7E+02,2.5E+00,2.2E+01,,
"DICHLOROBENZENE, 1,4-",5.5E-02,1.1E+02,5.5E-02,9.4E+00,,
"DICHLOROBENZIDINE, 3,3-",1.2E+00,4.1E+01,1.2E+00,4.5E+00,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),2.3E+00,1.9E-01,2.3E+00,1.1E-02,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.0E+00,7.0E+00,2.0E+00,4.1E-01,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.9E+00,1.3E-02,1.9E+00,1.0E-03,,
"DICHLOROETHANE, 1,1-",3.8E-01,8.3E+02,3.8E-01,4.7E+01,,
"DICHLOROETHANE, 1,2-",2.3E-02,1.8E+02,2.3E-02,1.8E+02,,
"DICHLOROETHYLENE, 1,1-",8.9E+00,3.9E+03,4.2E+00,2.5E+01,,
"DICHLOROETHYLENE, Cis 1,2-",3.6E-01,1.3E+03,3.6E-01,6.2E+02,,
"DICHLOROETHYLENE, Trans 1,2-",3.6E+00,2.6E+03,3.6E+00,5.6E+02,,
"DICHLOROPHENOL, 2,4-",7.3E-02,3.0E+00,7.3E-02,3.0E+00,,
