"TABLE C.  ENVIRONMENTAL ACTION LEVELS (EALs)
Indoor Air and Soil Vapor
(Vapor Intrusion Hazards)",,,,,,
,,,,,,
,,,"INDOOR AIR
ACTION LEVELS",,"2SHALLOW SOIL VAPOR
ACTION LEVELS",
CHEMICAL PARAMETER,"Physical
State",,"1Residential
 (ug/m3)","Commercial/
Industrial
 (ug/m3)","1Residential
 (ug/m3)","Commercial/
Industrial
 (ug/m3)"
ACENAPHTHENE,V,S,5.0E+01,2.1E+02,1.0E+05,8.4E+05
ACENAPHTHYLENE,V,S,3.3E+01,1.4E+02,6.7E+04,5.6E+05
ACETONE,V,L,6.5E+03,2.7E+04,1.3E+07,1.1E+08
ALDRIN,SV,S,2.1E-01,8.8E-01,4.2E+02,3.5E+03
AMETRYN,NV,S,,,,
"AMINO,2- DINITROTOLUENE,4,6-",NV,S,,,,
"AMINO,4- DINITROTOLUENE,2,6-",NV,S,,,,
ANTHRACENE,V,S,2.5E+02,1.1E+03,5.0E+05,4.2E+06
ANTIMONY,NV,S,,,,
ARSENIC,NV,S,,,,
ATRAZINE,NV,S,,,,
BARIUM,NV,S,,,,
BENOMYL,NV,S,,,,
BENZENE,V,L,3.6E-01,1.6E+00,7.2E+02,6.3E+03
BENZO(a)ANTHRACENE,SV,S,9.2E-01,1.1E+00,1.8E+03,4.5E+03
BENZO(a)PYRENE,NV,S,,,,
BENZO(b)FLUORANTHENE,NV,S,,,,
"BENZO(g,h,i)PERYLENE",NV,S,,,,
BENZO(k)FLUORANTHENE,NV,S,,,,
BERYLLIUM,NV,S,,,,
"BIPHENYL, 1,1-",V,S,8.3E-02,3.5E-01,1.7E+02,1.4E+03
BIS(2-CHLOROETHYL)ETHER,V,L,8.5E-03,3.7E-02,1.7E+01,1.5E+02
BIS(2-CHLORO-1-METHYLETHYL)ETHER,V,L,2.8E-01,1.2E+00,5.6E+02,4.9E+03
BIS(2-ETHYLHEXYL)PHTHALATE,NV,S,,,,
BORON,NV,S,,,,
BROMODICHLOROMETHANE,V,L,7.6E-02,3.3E-01,1.5E+02,1.3E+03
BROMOFORM,SV,S,2.6E+00,1.1E+01,5.1E+03,4.5E+04
BROMOMETHANE,V,G,1.0E+00,4.4E+00,2.1E+03,1.8E+04
CADMIUM,NV,S,,,,
CARBON TETRACHLORIDE,V,L,4.7E-01,2.0E+00,9.4E+02,8.2E+03
CHLORDANE (TECHNICAL),SV,S,2.8E-01,1.2E+00,5.6E+02,4.9E+03
"CHLOROANILINE, p-",NV,S,,,,
CHLOROBENZENE,V,L,1.0E+01,4.4E+01,2.1E+04,1.8E+05
CHLOROETHANE,V,G,2.1E+03,8.8E+03,4.2E+06,3.5E+07
