"TABLE D.  ENVIRONMENTAL ACTION LEVELS (EALs)
1Surface Water Bodies",,,,,
,,,,,
,"SURFACE WATER
ACTION LEVELS",,,,
CHEMICAL PARAMETER,"2Freshwater
 (ug/L)","3Marine
 (ug/L)","4Estuarine
 (ug/L)",,
ACENAPHTHENE,1.5E+01,2.0E+01,1.5E+01,,
ACENAPHTHYLENE,1.3E+01,3.1E+02,1.3E+01,,
ACETONE,1.7E+03,1.5E+03,1.5E+03,,
ALDRIN,2.6E-05,2.6E-05,2.6E-05,,
AMETRYN,1.8E+02,7.0E+02,7.0E+02,,
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,2.0E+01,1.8E+01,,
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,1.1E+01,1.1E+01,,
ANTHRACENE,2.0E-02,7.3E-01,2.0E-02,,
ANTIMONY,6.0E+00,3.0E+01,3.0E+01,,
ARSENIC,1.4E-01,1.4E-01,1.4E-01,,
ATRAZINE,3.0E+00,1.2E+01,1.2E+01,,
BARIUM,2.2E+02,2.2E+02,2.2E+02,,
BENOMYL,1.4E-01,1.4E-01,1.4E-01,,
BENZENE,5.0E+00,1.3E+01,1.3E+01,,
BENZO(a)ANTHRACENE,1.1E-02,1.8E-02,1.8E-02,,
BENZO(a)PYRENE,1.8E-02,1.8E-02,1.8E-02,,
BENZO(b)FLUORANTHENE,1.8E-02,1.8E-02,1.8E-02,,
"BENZO(g,h,i)PERYLENE",1.3E-01,1.3E-01,1.3E-01,,
BENZO(k)FLUORANTHENE,1.8E-02,1.8E-02,1.8E-02,,
BERYLLIUM,3.8E-02,3.8E-02,3.8E-02,,
"BIPHENYL, 1,1-",5.0E-01,5.0E-01,5.0E-01,,
BIS(2-CHLOROETHYL)ETHER,1.4E-02,4.4E-01,4.4E-01,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,3.7E-01,3.7E-01,,
BIS(2-ETHYLHEXYL)PHTHALATE,2.2E+00,2.2E+00,2.2E+00,,
BORON,4.0E+03,1.0E+03,1.0E+03,,
BROMODICHLOROMETHANE,1.4E-01,3.4E+02,3.4E+02,,
BROMOFORM,8.0E+01,1.4E+02,1.4E+02,,
BROMOMETHANE,7.6E+00,1.6E+01,1.6E+01,,
CADMIUM,3.0E+00,9.3E+00,3.0E+00,,
CARBON TETRACHLORIDE,2.3E+00,2.3E+00,2.D1013,,
CHLORDANE (TECHNICAL),1.6E-05,1.6E-05,1.6E-05,,
"CHLOROANILINE, p-",3.9E-01,1.9E+01,1.9E+01,,
CHLOROBENZENE,2.5E+01,5.0E+01,2.5E+01,,
CHLOROETHANE,1.6E+01,1.6E+01,1.6E+01,,
CHLOROFORM,5.1E+00,5.1E+00,5.1E+00,,
CHLOROMETHANE,1.9E+02,1.9E+02,1.9E+02,,
"CHLOROPHENOL, 2-",1.8E-01,1.8E-01,1.8E-01,,
CHROMIUM (Total),1.1E+01,5.0E+01,1.1E+01,,
CHROMIUM III,7.4E+01,2.0E+01,2.0E+01,,
CHROMIUM VI,4.3E+00,5.0E+01,1.1E+01,,
CHRYSENE,1.8E-02,1.8E-02,1.8E-02,,
COBALT,6.0E+00,2.3E+01,1.9E+01,,
COPPER,6.0E+00,2.9E+00,2.9E+00,,
CYANIDE (Free),5.2E+00,1.0E+00,1.0E+00,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.1E-01,1.9E+02,7.9E+01,,
DALAPON,2.0E+02,3.0E+02,3.0E+02,,
"DIBENZO(a,h)ANTHTRACENE",2.9E-03,1.8E-02,1.8E-02,,
"DIBROMO,1,2- CHLOROPROPANE,3-",4.0E-02,4.0E-02,4.0E-02,,
DIBROMOCHLOROMETHANE,2.1E-01,1.3E+01,1.3E+01,,
"DIBROMOETHANE, 1,2-",4.0E-02,1.4E+03,1.4E+03,,
"DICHLOROBENZENE, 1,2-",1.0E+01,1.0E+01,1.0E+01,,
"DICHLOROBENZENE, 1,3-",2.2E+01,7.1E+01,2.2E+01,,
"DICHLOROBENZENE, 1,4-",5.0E+00,1.1E+01,9.4E+00,,
"DICHLOROBENZIDINE, 3,3-",7.0E-03,7.0E-03,7.0E-03,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),3.1E-04,3.1E-04,3.1E-04,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.2E-04,2.2E-04,2.2E-04,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),8.0E-06,8.0E-06,8.0E-06,,
"DICHLOROETHANE, 1,1-",2.8E+00,4.7E+01,4.7E+01,,
"DICHLOROETHANE, 1,2-",5.0E+00,7.9E+01,7.9E+01,,
"DICHLOROETHYLENE, 1,1-",6.0E-01,6.0E-01,6.0E-01,,
"DICHLOROETHYLENE, Cis 1,2-",7.0E+01,6.2E+02,6.2E+02,,
"DICHLOROETHYLENE, Trans 1,2-",1.0E+02,2.6E+02,2.6E+02,,
"DICHLOROPHENOL, 2,4-",3.0E-01,3.0E-01,3.0E-01,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",7.0E+01,7.0E+01,7.0E+01,,
"DICHLOROPROPANE, 1,2-",5.0E+00,1.0E+01,1.0E+01,,
"DICHLOROPROPENE, 1,3-",5.0E-01,6.0E-02,6.0E-02,,
DIELDRIN,2.5E-05,2.5E-05,2.5E-05,,
DIETHYLPHTHALATE,2.2E+02,2.1E+02,2.1E+02,,
"DIMETHYLPHENOL, 2,4-",1.2E+02,1.2E+02,1.2E+02,,
DIMETHYLPHTHALATE,1.1E+03,2.9E+03,1.1E+03,,
"DINITROBENZENE, 1,3-",2.0E+00,1.0E+01,1.0E+01,,
"DINITROPHENOL, 2,4-",4.0E+01,1.4E+01,1.4E+01,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",2.5E-01,3.0E+00,3.0E+00,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",5.2E-02,8.1E+01,8.1E+01,,
"DIOXANE, 1,4-",4.6E-01,5.0E+04,5.0E+04,,
DIOXINS (TEQ),3.1E-09,3.1E-09,3.1E-09,,
DIURON,4.0E+01,6.0E+01,6.0E+01,,
ENDOSULFAN,5.6E-02,8.7E-03,8.7E-03,,
ENDRIN,2.3E-03,2.3E-03,2.3E-03,,
ETHANOL,5.0E+04,5.0E+04,5.0E+04,,
ETHYLBENZENE,3.0E+01,7.3E+00,7.3E+00,,
FLUORANTHENE,8.0E-01,7.1E+00,8.0E-01,,
FLUORENE,1.9E+01,3.9E+00,3.9E+00,,
GLYPHOSATE,7.0E+02,1.8E+03,1.8E+03,,
HEPTACHLOR,9.0E-05,9.0E-05,9.0E-05,,
HEPTACHLOR EPOXIDE,3.9E-05,3.9E-05,3.9E-05,,
HEXACHLOROBENZENE,2.4E-04,2.4E-04,2.4E-04,,
HEXACHLOROBUTADIENE,2.0E-01,3.0E-01,3.0E-01,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,2.0E-02,2.0E-02,2.0E-02,,
HEXACHLOROETHANE,4.0E-01,2.9E+00,2.9E+00,,
HEXAZINONE,6.6E+02,1.7E+04,1.7E+04,,
"INDENO(1,2,3-cd)PYRENE",1.8E-02,1.8E-02,1.8E-02,,
ISOPHORONE,8.2E+01,9.2E+02,9.2E+02,,
LEAD,1.5E+01,5.6E+00,5.6E+00,,
MERCURY,4.7E-02,2.5E-02,2.5E-02,,
METHOXYCHLOR,3.0E-02,3.0E-02,3.0E-02,,
METHYL ETHYL KETONE,5.6E+03,8.4E+03,8.4E+03,,
METHYL ISOBUTYL KETONE,1.7E+02,1.7E+02,1.7E+02,,
METHYL MERCURY,2.8E-03,2.8E-03,2.8E-03,,
METHYL TERT BUTYL ETHER,5.0E+00,1.8E+02,1.8E+02,,
METHYLENE CHLORIDE,5.0E+00,5.9E+02,5.9E+02,,
"METHYLNAPHTHALENE, 1-",2.1E+00,2.1E+00,2.1E+00,,
"METHYLNAPHTHALENE, 2-",4.7E+00,1.0E+01,4.7E+00,,
MOLYBDENUM,1.0E+02,3.7E+02,3.7E+02,,
NAPHTHALENE,1.7E+01,1.2E+01,1.2E+01,,
NICKEL,5.0E+00,8.3E+00,5.0E+00,,
NITROBENZENE,1.4E-01,3.8E+02,3.8E+02,,
NITROGLYCERIN,2.0E+00,1.8E+01,1.8E+01,,
"NITROTOLUENE, 2-",7.9E-02,7.1E+01,7.1E+01,,
"NITROTOLUENE, 3-",2.0E+00,4.2E+01,4.2E+01,,
"NITROTOLUENE, 4-",4.9E+00,4.6E+01,4.6E+01,,
PENTACHLOROPHENOL,1.0E+00,3.0E+00,3.0E+00,,
PENTAERYTHRITOLTETRANITRATE (PETN),1.9E+01,2.2E+04,2.2E+04,,
PERCHLORATE,1.5E+01,6.0E+02,6.0E+02,,
PHENANTHRENE,2.3E+00,4.6E+00,2.3E+00,,
PHENOL,1.6E+02,5.8E+01,5.8E+01,,
POLYCHLORINATED BIPHENYLS (PCBs),7.9E-05,7.9E-05,7.9E-05,,
PROPICONAZOLE,9.5E+01,9.5E+01,9.5E+01,,
PYRENE,4.6E+00,1.0E+01,4.6E+00,,
SELENIUM,5.0E+00,7.1E+01,5.0E+00,,
SILVER,1.0E+00,1.0E-01,1.0E-01,,
SIMAZINE,4.0E+00,9.0E+00,9.0E+00,,
STYRENE,1.0E+01,1.1E+01,1.1E+01,,
TERBACIL,2.6E+02,2.6E+02,2.6E+02,,
tert-BUTYL ALCOHOL,5.8E+00,1.8E+04,1.8E+04,,
"TETRACHLOROETHANE, 1,1,1,2-",6.1E-01,1.1E+01,1.1E+01,,
