"TABLE B-1.  SOIL ACTION LEVELS
(Potentially impacted groundwater IS NOT a current or potential drinking water resource;
Surface water body IS NOT located within 150m of release site)",,,,,,,,,
,,,,,,,,,
, (mg/kg),,,,,,,,
CHEMICAL PARAMETER,Final EAL,,"1Gross
Contamination
(Odors, etc.)","Terrestrial
Ecotoxicity",Background,1Human Health,,Leaching & Groundwater Protection,
,,,,,,"Direct
Exposure","Vapor Intrusion
Into Buildings",NON-Drinking Water Resource,
,,Basis,Table F-2,Table L,Table K,Table I-1,Table C-1b,Table E,
ACENAPHTHENE,1.2E+02,Vapor Intrusion,1.0E+03,site-specific,,6.6E+02,1.2E+02,1.7E+02,
ACENAPHTHYLENE,1.3E+02,Groundwater Protection,5.0E+02,site-specific,,3.4E+02,(Use soil gas),1.3E+02,
ACETONE,9.2E+00,Groundwater Protection,5.0E+02,site-specific,,1.2E+04,1.4E+04,9.2E+00,
ALDRIN,3.9E+00,Direct Exposure,1.0E+03,site-specific,,3.9E+00,,1.8E+01,
AMETRYN,1.1E+02,Direct Exposure,5.0E+02,site-specific,,1.1E+02,,1.3E+02,
"AMINO,2- DINITROTOLUENE,4,6-",7.5E+00,Groundwater Protection,5.0E+02,site-specific,,3.1E+01,,7.5E+00,
"AMINO,4- DINITROTOLUENE,2,6-",4.6E+00,Groundwater Protection,5.0E+02,site-specific,,3.1E+01,,4.6E+00,
ANTHRACENE,4.2E+00,Vapor Intrusion,5.0E+02,site-specific,,3.5E+03,4.2E+00,4.2E+00,
ANTIMONY,6.3E+00,Direct Exposure,1.0E+03,site-specific,2.4E+00,6.3E+00,,(Use batch test),
ARSENIC,2.4E+01,Background,1.0E+03,site-specific,2.4E+01,2.3E+01,,(Use batch test),
ATRAZINE,2.4E+00,Direct Exposure,5.0E+02,site-specific,,2.4E+00,,1.2E+01,
BARIUM,1.0E+03,Ceiling Value,1.0E+03,site-specific,6.9E+02,3.1E+03,,(Use batch test),
BENOMYL,1.6E-01,Groundwater Protection,1.0E+03,site-specific,,6.3E+02,,1.6E-01,
BENZENE,7.7E-01,Vapor Intrusion,5.0E+02,site-specific,,1.2E+00,7.7E-01,1.0E+02,
BENZO(a)ANTHRACENE,1.6E+01,Direct Exposure,5.0E+02,site-specific,,1.6E+01,,1.4E+02,
BENZO(a)PYRENE,1.6E+00,Direct Exposure,5.0E+02,site-specific,,1.6E+00,,7.8E+01,
BENZO(b)FLUORANTHENE,1.6E+01,Direct Exposure,5.0E+02,site-specific,,1.6E+01,,7.5E+01,
