"TABLE C-2. 1SHALLOW SOIL VAPOR ACTION LEVELS
FOR EVALUATION OF POTENTIAL VAPOR INTRUSION HAZARDS
(volatile chemicals only)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2Unrestricted Land Use,,,Commercial/Industrial Land Use Only,,,,,,,
,,,Lowest,Carcinogenic,Noncarcinogenic,Lowest,Carcinogenic,Noncarcinogenic,,,,,
,Physical,,Residential,Effects,Effects,C/I,Effects,Effects,,,,,
CHEMICAL PARAMETER,State,,(ug/m3),(ug/m3),(ug/m3),(ug/m3),(ug/m3),(ug/m3),,,,,
ACENAPHTHENE,V,S,1.0E+05,,1.0E+05,8.4E+05,,8.4E+05,,,,,
ACENAPHTHYLENE,V,S,6.7E+04,,6.7E+04,5.6E+05,,5.6E+05,,,,,
ACETONE,V,L,1.3E+07,,1.3E+07,1.1E+08,,1.1E+08,,,,,
ALDRIN,SV,S,4.2E+02,6.6E+02,4.2E+02,3.5E+03,5.8E+03,3.5E+03,,,,,
AMETRYN,NV,S,,,,,,,,,,,
"AMINO,2- DINITROTOLUENE,4,6-",NV,S,,,,,,,,,,,
"AMINO,4- DINITROTOLUENE,2,6-",NV,S,,,,,,,,,,,
ANTHRACENE,V,S,5.0E+05,,5.0E+05,4.2E+06,,4.2E+06,,,,,
ANTIMONY,NV,S,,,,,,,,,,,
ARSENIC,NV,S,,,,,,,,,,,
ATRAZINE,NV,S,,,,,,,,,,,
BARIUM,NV,S,,,,,,,,,,,
BENOMYL,NV,S,,,,,,,,,,,
BENZENE,V,L,7.2E+02,7.2E+02,1.3E+04,6.3E+03,6.3E+03,1.1E+05,,,,,
BENZO(a)ANTHRACENE,SV,S,1.8E+03,1.8E+03,,4.5E+03,4.5E+03,,,,,,
BENZO(a)PYRENE,NV,S,,,,,,,,,,,
BENZO(b)FLUORANTHENE,NV,S,,,,,,,,,,,
"BENZO(g,h,i)PERYLENE",NV,S,,,,,,,,,,,
BENZO(k)FLUORANTHENE,NV,S,,,,,,,,,,,
BERYLLIUM,NV,S,,,,,,,,,,,
"BIPHENYL, 1,1-",V,S,1.7E+02,2.8E+03,1.7E+02,1.4E+03,2.5E+04,1.4E+03,,,,,
BIS(2-CHLOROETHYL)ETHER,V,L,1.7E+01,1.7E+01,,1.5E+02,1.5E+02,,,,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,V,L,5.6E+02,5.6E+02,5.8E+04,4.9E+03,4.9E+03,4.9E+05,,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,NV,S,,,,,,,,,,,
BORON,NV,S,,,,,,,,,,,
BROMODICHLOROMETHANE,V,L,1.5E+02,1.5E+02,3.3E+04,1.3E+03,1.3E+03,2.8E+05,,,,,
BROMOFORM,SV,S,5.1E+03,5.1E+03,,4.5E+04,4.5E+04,,,,,,
BROMOMETHANE,V,G,2.1E+03,,2.1E+03,1.8E+04,,1.8E+04,,,,,
CADMIUM,NV,S,,,,,,,,,,,
CARBON TETRACHLORIDE,V,L,9.4E+02,9.4E+02,4.2E+04,8.2E+03,8.2E+03,3.5E+05,,,,,
CHLORDANE (TECHNICAL),SV,S,5.6E+02,5.6E+02,1.5E+03,4.9E+03,4.9E+03,1.2E+04,,,,,
"CHLOROANILINE, p-",NV,S,,,,,,,,,,,
CHLOROBENZENE,V,L,2.1E+04,,2.1E+04,1.8E+05,,1.8E+05,,,,,
CHLOROETHANE,V,G,4.2E+06,,4.2E+06,3.5E+07,,3.5E+07,,,,,
