"TABLE D-1d. GROUNDWATER ACTION LEVELS
(Groundwater IS NOT a current or potential drinking water resource)
(Surface water body IS NOT located within 150m of release site)",,,,,,
(ug/l),,,,,,
,,,,,,
CONTAMINANT,1Final Groundwater Action Level,,"Gross Contamination
(Odors, etc.)","Vapor Intrusion
Into Buildings","Aquatic
Habitat
Impacts
(acute)",
,,Basis,Table G-2,Table C-1a,Table D-4a,
ACENAPHTHENE,2.0E+02,Gross Contamination,2.0E+02,3.9E+03,3.2E+02,
ACENAPHTHYLENE,3.0E+02,Aquatic Habitat Goal,2.0E+03,(Use soil gas),3.0E+02,
ACETONE,1.5E+04,Aquatic Habitat Goal,5.0E+04,6.2E+08,1.5E+04,
ALDRIN,1.3E+00,Aquatic Habitat Goal,8.5E+00,,1.3E+00,
AMETRYN,1.8E+03,Aquatic Habitat Goal,5.0E+04,,1.8E+03,
"AMINO,2- DINITROTOLUENE,4,6-",1.6E+02,Aquatic Habitat Goal,5.0E+04,,1.6E+02,
"AMINO,4- DINITROTOLUENE,2,6-",9.8E+01,Aquatic Habitat Goal,5.0E+04,,9.8E+01,
ANTHRACENE,1.8E-01,Aquatic Habitat Goal,2.2E+01,4.3E+01,1.8E-01,
ANTIMONY,1.8E+02,Aquatic Habitat Goal,5.0E+04,,1.8E+02,
ARSENIC,6.9E+01,Aquatic Habitat Goal,5.0E+04,,6.9E+01,
ATRAZINE,3.3E+02,Aquatic Habitat Goal,1.8E+04,,3.3E+02,
BARIUM,2.0E+03,Aquatic Habitat Goal,5.0E+04,,2.0E+03,
BENOMYL,2.8E+00,Aquatic Habitat Goal,1.9E+03,,2.8E+00,
BENZENE,1.7E+03,Aquatic Habitat Goal,2.0E+04,2.3E+03,1.7E+03,
BENZO(a)ANTHRACENE,4.7E+00,Gross Contamination,4.7E+00,,3.0E+02,
BENZO(a)PYRENE,8.0E-01,Gross Contamination,8.0E-01,,3.0E+02,
BENZO(b)FLUORANTHENE,7.5E-01,Gross Contamination,7.5E-01,,3.0E+02,
"BENZO(g,h,i)PERYLENE",1.3E-01,Gross Contamination,1.3E-01,,3.0E+02,
BENZO(k)FLUORANTHENE,4.0E-01,Gross Contamination,4.0E-01,,3.0E+02,
BERYLLIUM,3.5E+01,Aquatic Habitat Goal,5.0E+04,,3.5E+01,
"BIPHENYL, 1,1-",5.0E+00,Gross Contamination,5.0E+00,(Use soil gas),2.6E+01,
BIS(2-CHLOROETHYL)ETHER,1.8E+02,Vapor Intrusion,3.6E+03,1.8E+02,2.4E+04,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,Aquatic Habitat Goal,3.2E+03,(Use soil gas),3.7E-01,
BIS(2-ETHYLHEXYL)PHTHALATE,2.7E+01,Aquatic Habitat Goal,1.4E+02,,2.7E+01,
BORON,3.4E+04,Aquatic Habitat Goal,5.0E+04,,3.4E+04,
BROMODICHLOROMETHANE,1.1E+02,Vapor Intrusion,5.0E+04,1.1E+02,3.1E+03,
BROMOFORM,1.1E+03,Aquatic Habitat Goal,5.1E+03,,1.1E+03,
BROMOMETHANE,3.8E+01,Aquatic Habitat Goal,5.0E+04,4.1E+02,3.8E+01,
CADMIUM,3.0E+00,Aquatic Habitat Goal,5.0E+04,,3.0E+00,
CARBON TETRACHLORIDE,1.1E+02,Vapor Intrusion,5.2E+03,1.1E+02,1.2E+04,
CHLORDANE (TECHNICAL),9.0E-02,Aquatic Habitat Goal,2.5E+01,,9.0E-02,
"CHLOROANILINE, p-",4.6E+02,Aquatic Habitat Goal,5.0E+04,,4.6E+02,
CHLOROBENZENE,2.2E+02,Aquatic Habitat Goal,5.0E+02,1.2E+04,2.2E+02,
CHLOROETHANE,1.6E+02,Gross Contamination,1.6E+02,6.0E+05,2.1E+04,
CHLOROFORM,1.1E+02,Vapor Intrusion,2.4E+04,1.1E+02,4.9E+02,
CHLOROMETHANE,1.9E+02,Aquatic Habitat Goal,5.0E+04,5.2E+03,1.9E+02,
