"TABLE D-2b. SURFACE WATER ACTION LEVELS
Marine Habitats",,,,,
(ug/l),,,,,
,,,,,
,"1Final
Surface Water Action Level",,"Gross Contamination
(Odors, etc.)","Marine
Aquatic
Habitat Goal
(Chronic Toxicity)","Bioaccumulation
and Human Consumption"
CHEMICAL PARAMETER,,Basis,Table G-4,Table D-4a,Table D-4F
ACENAPHTHENE,2.0E+01,Ceiling Level,2.0E+01,2.0E+01,9.9E+02
ACENAPHTHYLENE,3.1E+02,Aquatic Habitat Chronic Toxicity,2.0E+03,3.1E+02,
ACETONE,1.5E+03,Aquatic Habitat Chronic Toxicity,2.0E+04,1.5E+03,
ALDRIN,2.6E-05,Bioaccumulation/Human Consumption,8.5E+00,1.4E-04,2.6E-05
AMETRYN,7.0E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,7.0E+02,
"AMINO,2- DINITROTOLUENE,4,6-",2.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,2.0E+01,
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.1E+01,
ANTHRACENE,7.3E-01,Aquatic Habitat Chronic Toxicity,2.2E+01,7.3E-01,4.0E+04
ANTIMONY,3.0E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,3.0E+01,1.5E+04
ARSENIC,1.4E-01,Bioaccumulation/Human Consumption,5.0E+04,3.6E+01,1.4E-01
ATRAZINE,1.2E+01,Aquatic Habitat Chronic Toxicity,1.8E+04,1.2E+01,
BARIUM,2.2E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,2.2E+02,
BENOMYL,1.4E-01,Aquatic Habitat Chronic Toxicity,1.9E+03,1.4E-01,
BENZENE,1.3E+01,Bioaccumulation/Human Consumption,2.0E+03,7.1E+01,1.3E+01
BENZO(a)ANTHRACENE,1.8E-02,Bioaccumulation/Human Consumption,4.7E+00,2.7E-02,1.8E-02
BENZO(a)PYRENE,1.8E-02,Bioaccumulation/Human Consumption,8.0E-01,3.0E-01,1.8E-02
BENZO(b)FLUORANTHENE,1.8E-02,Bioaccumulation/Human Consumption,7.5E-01,6.8E-01,1.8E-02
"BENZO(g,h,i)PERYLENE",1.3E-01,Ceiling Level,1.3E-01,4.4E-01,
BENZO(k)FLUORANTHENE,1.8E-02,Bioaccumulation/Human Consumption,4.0E-01,6.4E-01,1.8E-02
BERYLLIUM,3.8E-02,Bioaccumulation/Human Consumption,5.0E+04,6.6E-01,3.8E-02
"BIPHENYL, 1,1-",5.0E-01,Ceiling Level,5.0E-01,1.4E+01,
BIS(2-CHLOROETHYL)ETHER,4.4E-01,Bioaccumulation/Human Consumption,3.6E+02,2.4E+03,4.4E-01
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,Aquatic Habitat Chronic Toxicity,3.2E+02,3.7E-01,1.4E+03
BIS(2-ETHYLHEXYL)PHTHALATE,2.2E+00,Bioaccumulation/Human Consumption,1.4E+02,3.0E+00,2.2E+00
BORON,1.0E+03,Aquatic Habitat Chronic Toxicity,5.0E+04,1.0E+03,
BROMODICHLOROMETHANE,3.4E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,3.4E+02,
BROMOFORM,1.4E+02,Bioaccumulation/Human Consumption,5.1E+02,3.2E+02,1.4E+02
BROMOMETHANE,1.6E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.6E+01,1.5E+03
CADMIUM,9.3E+00,Aquatic Habitat Chronic Toxicity,5.0E+04,9.3E+00,
CARBON TETRACHLORIDE,2.3E+00,Bioaccumulation/Human Consumption,5.2E+02,9.8E+00,2.3E+00
CHLORDANE (TECHNICAL),1.6E-05,Bioaccumulation/Human Consumption,2.5E+00,4.0E-03,1.6E-05
"CHLOROANILINE, p-",1.9E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.9E+01,
