TABLE D-3b. RISK-BASED ACTION LEVELS FOR TAPWATER,,,,,,
(ug/l),,,,,,
,,,,,,
CHEMICAL PARAMETER,"Lowest
Tapwater Goal
(ug/L",Basis,Carcinogenic Effects,"Mutagenic
Effects",Noncancer Effects,
ACENAPHTHENE,3.5E+02,noncarcinogenic effects,,,3.5E+02,
ACENAPHTHYLENE,2.4E+02,noncarcinogenic effects,,,2.4E+02,
ACETONE,1.4E+04,noncarcinogenic effects,,,1.4E+04,
ALDRIN,5.1E-03,carcinogenic effects,5.1E-03,,5.9E-01,
AMETRYN,1.8E+02,noncarcinogenic effects,,,1.8E+02,
"AMINO,2- DINITROTOLUENE,4,6-",4.0E+01,noncarcinogenic effects,,,4.0E+01,
"AMINO,4- DINITROTOLUENE,2,6-",4.0E+01,noncarcinogenic effects,,,4.0E+01,
ANTHRACENE,1.8E+03,noncarcinogenic effects,,,1.8E+03,
ANTIMONY,8.0E+00,noncarcinogenic effects,,,8.0E+00,
ARSENIC,5.2E-02,carcinogenic effects,5.2E-02,,6.0E+00,
ATRAZINE,3.4E-01,carcinogenic effects,3.4E-01,,7.0E+02,
BARIUM,4.0E+03,noncarcinogenic effects,,,4.0E+03,
BENOMYL,1.0E+03,noncarcinogenic effects,,,1.0E+03,
BENZENE,4.8E-01,carcinogenic effects,4.8E-01,,3.5E+01,
BENZO(a)ANTHRACENE,1.1E-02,mutagenic effects,3.5E-02,1.1E-02,,
BENZO(a)PYRENE,2.9E-03,mutagenic effects,1.1E-02,2.9E-03,,
BENZO(b)FLUORANTHENE,2.9E-02,mutagenic effects,1.1E-01,2.9E-02,,
"BENZO(g,h,i)PERYLENE",8.0E+02,noncarcinogenic effects,,,8.0E+02,
BENZO(k)FLUORANTHENE,2.9E-01,mutagenic effects,1.1E+00,2.9E-01,,
BERYLLIUM,4.0E+01,noncarcinogenic effects,,,4.0E+01,
"BIPHENYL, 1,1-",8.3E-01,noncarcinogenic effects,2.2E+00,,8.3E-01,
BIS(2-CHLOROETHYL)ETHER,1.4E-02,carcinogenic effects,1.4E-02,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,carcinogenic effects,3.7E-01,,2.1E+02,
BIS(2-ETHYLHEXYL)PHTHALATE,5.6E+00,carcinogenic effects,5.6E+00,,4.0E+02,
BORON,4.0E+03,noncarcinogenic effects,,,4.0E+03,
BROMODICHLOROMETHANE,1.4E-01,carcinogenic effects,1.4E-01,,1.2E+02,
BROMOFORM,3.4E+00,carcinogenic effects,3.4E+00,,4.0E+02,
BROMOMETHANE,7.6E+00,noncarcinogenic effects,,,7.6E+00,
CADMIUM,2.0E+01,noncarcinogenic effects,,,2.0E+01,
CARBON TETRACHLORIDE,5.1E-01,carcinogenic effects,5.1E-01,,5.8E+01,
CHLORDANE (TECHNICAL),4.5E-02,carcinogenic effects,4.5E-02,,1.3E+00,
"CHLOROANILINE, p-",3.9E-01,carcinogenic effects,3.9E-01,,8.0E+01,
CHLOROBENZENE,8.3E+01,noncarcinogenic effects,,,8.3E+01,
CHLOROETHANE,2.1E+04,noncarcinogenic effects,,,2.1E+04,
CHLOROFORM,2.2E-01,carcinogenic effects,2.2E-01,,1.0E+02,
CHLOROMETHANE,1.9E+02,noncarcinogenic effects,,,1.9E+02,
"CHLOROPHENOL, 2-",2.9E+01,noncarcinogenic effects,,,2.9E+01,
CHROMIUM (Total),,not applicable,,,,
CHROMIUM III,3.0E+04,noncarcinogenic effects,,,3.0E+04,
CHROMIUM VI,4.3E+00,mutagenic effects,1.6E+01,4.3E+00,6.0E+01,
CHRYSENE,2.9E+00,mutagenic effects,1.1E+01,2.9E+00,,
COBALT,6.0E+00,noncarcinogenic effects,,,6.0E+00,
COPPER,8.0E+02,noncarcinogenic effects,,,8.0E+02,
CYANIDE (Free),1.5E+00,noncarcinogenic effects,,,1.5E+00,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.1E-01,carcinogenic effects,7.1E-01,,6.0E+01,
DALAPON,6.0E+02,noncarcinogenic effects,,,6.0E+02,
"DIBENZO(a,h)ANTHTRACENE",2.9E-03,mutagenic effects,1.1E-02,2.9E-03,,
"DIBROMO,1,2- CHLOROPROPANE,3-",3.3E-04,mutagenic effects,9.3E-04,3.3E-04,3.8E-01,
DIBROMOCHLOROMETHANE,2.1E-01,carcinogenic effects,2.1E-01,,1.2E+02,
"DIBROMOETHANE, 1,2-",7.5E-03,carcinogenic effects,7.5E-03,,1.7E+01,
"DICHLOROBENZENE, 1,2-",3.4E+02,noncarcinogenic effects,,,3.4E+02,
"DICHLOROBENZENE, 1,3-",1.8E+02,noncarcinogenic effects,,,1.8E+02,
"DICHLOROBENZENE, 1,4-",4.9E-01,carcinogenic effects,4.9E-01,,7.6E+02,
"DICHLOROBENZIDINE, 3,3-",1.7E-01,carcinogenic effects,1.7E-01,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),3.2E-01,carcinogenic effects,3.2E-01,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),4.6E-02,carcinogenic effects,4.6E-02,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),2.3E-01,carcinogenic effects,2.3E-01,,1.0E+01,
