"TABLE D-5. CALIFORNIA AGRICULTURAL 
WATER QUALITY GOALS",,,,
(ug/l),,,,
,,,,
CHEMICAL PARAMETER,Agricultural Water Quality Goals,,,
ACENAPHTHENE,-,,,
ACENAPHTHYLENE,-,,,
ACETONE,-,,,
ALDRIN,-,,,
AMETRYN,-,,,
"AMINO,2- DINITROTOLUENE,4,6-",-,,,
"AMINO,4- DINITROTOLUENE,2,6-",-,,,
ANTHRACENE,-,,,
ANTIMONY,-,,,
ARSENIC,1.0E+02,,,
ATRAZINE,-,,,
BARIUM,-,,,
BENOMYL,,,,
BENZENE,-,,,
BENZO(a)ANTHRACENE,-,,,
BENZO(a)PYRENE,-,,,
BENZO(b)FLUORANTHENE,-,,,
"BENZO(g,h,i)PERYLENE",-,,,
BENZO(k)FLUORANTHENE,-,,,
BERYLLIUM,1.0E+02,,,
"BIPHENYL, 1,1-",-,,,
BIS(2-CHLOROETHYL)ETHER,-,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,-,,,
BIS(2-ETHYLHEXYL)PHTHALATE,-,,,
BORON,7.0E+02,,,
BROMODICHLOROMETHANE,-,,,
BROMOFORM,-,,,
BROMOMETHANE,-,,,
CADMIUM,1.0E+01,,,
CARBON TETRACHLORIDE,-,,,
CHLORDANE (TECHNICAL),-,,,
"CHLOROANILINE, p-",-,,,
CHLOROBENZENE,-,,,
CHLOROETHANE,-,,,
CHLOROFORM,-,,,
CHLOROMETHANE,-,,,
"CHLOROPHENOL, 2-",-,,,
CHROMIUM (Total),-,,,
CHROMIUM III,-,,,
CHROMIUM VI,1.0E+02,,,
CHRYSENE,-,,,
COBALT,5.0E+01,,,
COPPER,2.0E+02,,,
CYANIDE (Free),-,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",-,,,
DALAPON,-,,,
"DIBENZO(a,h)ANTHTRACENE",-,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",-,,,
DIBROMOCHLOROMETHANE,-,,,
"DIBROMOETHANE, 1,2-",-,,,
"DICHLOROBENZENE, 1,2-",-,,,
"DICHLOROBENZENE, 1,3-",-,,,
"DICHLOROBENZENE, 1,4-",-,,,
"DICHLOROBENZIDINE, 3,3-",-,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),-,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),-,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),-,,,
"DICHLOROETHANE, 1,1-",-,,,
"DICHLOROETHANE, 1,2-",-,,,
"DICHLOROETHYLENE, 1,1-",-,,,
"DICHLOROETHYLENE, Cis 1,2-",-,,,
"DICHLOROETHYLENE, Trans 1,2-",-,,,
"DICHLOROPHENOL, 2,4-",-,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",-,,,
"DICHLOROPROPANE, 1,2-",-,,,
"DICHLOROPROPENE, 1,3-",-,,,
DIELDRIN,-,,,
DIETHYLPHTHALATE,-,,,
"DIMETHYLPHENOL, 2,4-",-,,,
DIMETHYLPHTHALATE,-,,,
"DINITROBENZENE, 1,3-",-,,,
"DINITROPHENOL, 2,4-",-,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",-,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",-,,,
"DIOXANE, 1,4-",-,,,
DIOXINS (TEQ),-,,,
DIURON,-,,,
ENDOSULFAN,-,,,
ENDRIN,-,,,
ETHANOL,-,,,
ETHYLBENZENE,-,,,
FLUORANTHENE,-,,,
FLUORENE,-,,,
