"TABLE G-3. SURFACE WATER GROSS CONTAMINATION ACTION LEVELS
(surface water IS a current or potential source of drinking water)
(ug/L)",,,,,,
,,,,,,
CHEMICAL PARAMETER,"Final
Action Level",Basis,Solubility (1/2),"Taste And Odor
Threshold",Basis,Upper Limit
ACENAPHTHENE,2.0E+01,Taste & Odors,2.0E+03,2.0E+01,Ontario MOEE,5.0E+04
ACENAPHTHYLENE,2.0E+03,Solubility,2.0E+03,-,-,5.0E+04
ACETONE,2.0E+04,Taste & Odors,5.0E+08,2.0E+04,Amoore & Hautala,5.0E+04
ALDRIN,8.5E+00,Solubility,8.5E+00,1.7E+01,Ontario MOEE,5.0E+04
AMETRYN,5.0E+04,Upper Limit,1.0E+05,-,-,5.0E+04
"AMINO,2- DINITROTOLUENE,4,6-",5.0E+04,Upper Limit,6.1E+05,-,-,5.0E+04
"AMINO,4- DINITROTOLUENE,2,6-",5.0E+04,Upper Limit,6.1E+05,-,-,5.0E+04
ANTHRACENE,2.2E+01,Solubility,2.2E+01,-,-,5.0E+04
ANTIMONY,5.0E+04,Upper Limit,,-,-,5.0E+04
ARSENIC,5.0E+04,Upper Limit,,-,-,5.0E+04
ATRAZINE,2.0E+01,Taste & Odors,1.8E+04,2.0E+01,Young et al,5.0E+04
BARIUM,5.0E+04,Upper Limit,,-,-,5.0E+04
BENOMYL,1.9E+03,Solubility,1.9E+03,-,-,5.0E+04
BENZENE,1.7E+02,Taste & Odors,9.0E+05,1.7E+02,Amoore & Hautala,5.0E+04
BENZO(a)ANTHRACENE,4.7E+00,Solubility,4.7E+00,-,-,5.0E+04
BENZO(a)PYRENE,8.0E-01,Solubility,8.0E-01,-,-,5.0E+04
BENZO(b)FLUORANTHENE,7.5E-01,Solubility,7.5E-01,-,-,5.0E+04
"BENZO(g,h,i)PERYLENE",1.3E-01,Solubility,1.3E-01,-,-,5.0E+04
BENZO(k)FLUORANTHENE,4.0E-01,Solubility,4.0E-01,-,-,5.0E+04
BERYLLIUM,5.0E+04,Upper Limit,,-,-,5.0E+04
"BIPHENYL, 1,1-",5.0E-01,Taste & Odors,3.7E+03,5.0E-01,Amoore & Hautala,5.0E+04
BIS(2-CHLOROETHYL)ETHER,3.6E+02,Taste & Odors,8.6E+06,3.6E+02,Amoore & Hautala,5.0E+04
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.2E+02,Taste & Odors,8.5E+05,3.2E+02,Ontario MOEE,5.0E+04
BIS(2-ETHYLHEXYL)PHTHALATE,1.4E+02,Solubility,1.4E+02,-,-,5.0E+04
BORON,5.0E+04,Upper Limit,,-,-,5.0E+04
BROMODICHLOROMETHANE,5.0E+04,Upper Limit,1.5E+06,-,-,5.0E+04
BROMOFORM,5.1E+02,Taste & Odors,1.6E+06,5.1E+02,Amoore & Hautala,5.0E+04
BROMOMETHANE,5.0E+04,Upper Limit,7.6E+06,-,-,5.0E+04
CADMIUM,5.0E+04,Upper Limit,,-,-,5.0E+04
CARBON TETRACHLORIDE,5.2E+02,Taste & Odors,4.0E+05,5.2E+02,Amoore & Hautala,5.0E+04
CHLORDANE (TECHNICAL),2.5E+00,Taste & Odors,2.8E+01,2.5E+00,Ontario MOEE,5.0E+04
"CHLOROANILINE, p-",5.0E+04,Upper Limit,2.0E+06,-,-,5.0E+04
CHLOROBENZENE,5.0E+01,Taste & Odors,2.5E+05,5.0E+01,Amoore & Hautala,5.0E+04
CHLOROETHANE,1.6E+01,Taste & Odors,3.4E+06,1.6E+01,Amoore & Hautala,5.0E+04
CHLOROFORM,2.4E+03,Taste & Odors,4.0E+06,2.4E+03,Amoore & Hautala,5.0E+04
CHLOROMETHANE,5.0E+04,Upper Limit,2.7E+06,,-,5.0E+04
"CHLOROPHENOL, 2-",1.8E-01,Taste & Odors,5.7E+06,1.8E-01,Ontario MOEE,5.0E+04
CHROMIUM (Total),5.0E+04,Upper Limit,,-,-,5.0E+04
CHROMIUM III,5.0E+04,Upper Limit,,-,-,5.0E+04
