"TABLE I-3. DIRECT-EXPOSURE ACTION LEVELS
CONSTRUCTION/TRENCH WORKER EXPOSURE SCENARIO",,,,,,,,
,,,,,,,,
,Final,,1Carcinogens,2Noncarcinogens,2Noncarcinogens,,,
,Action Level,,(Risk = 10-5),(Final),(HQ = 1.0),Saturation,,
CHEMICAL,(mg/kg),Basis,(mg/kg),(mg/kg),(mg/kg),(mg/kg),,
ACENAPHTHENE,1.3E+04,noncarcinogenic effects,,1.3E+04,6.5E+04,NA,,
ACENAPHTHYLENE,4.5E+03,noncarcinogenic effects,,4.5E+03,2.3E+04,NA,,
ACETONE,1.1E+05,saturation limit,,2.6E+05,1.3E+06,1.1E+05,,
ALDRIN,1.2E+02,noncarcinogenic effects,7.0E+02,1.2E+02,2.4E+02,NA,,
AMETRYN,3.0E+03,noncarcinogenic effects,,3.0E+03,1.5E+04,NA,,
"AMINO,2- DINITROTOLUENE,4,6-",9.8E+02,noncarcinogenic effects,,9.8E+02,4.9E+03,NA,,
"AMINO,4- DINITROTOLUENE,2,6-",9.7E+02,noncarcinogenic effects,,9.7E+02,4.8E+03,NA,,
ANTHRACENE,8.1E+04,noncarcinogenic effects,,8.1E+04,4.1E+05,NA,,
ANTIMONY,2.0E+02,noncarcinogenic effects,,2.0E+02,1.0E+03,NA,,
ARSENIC,1.3E+02,carcinogenic effects,1.3E+02,3.3E+02,3.3E+02,NA,,
ATRAZINE,7.2E+02,carcinogenic effects,7.2E+02,1.2E+04,5.8E+04,NA,,
BARIUM,4.3E+03,noncarcinogenic effects,,4.3E+03,2.2E+04,NA,,
BENOMYL,1.7E+04,noncarcinogenic effects,,1.7E+04,8.3E+04,NA,,
BENZENE,3.0E+01,carcinogenic effects,3.0E+01,1.4E+02,7.0E+02,1.9E+03,,
BENZO(a)ANTHRACENE,2.0E+02,carcinogenic effects,2.0E+02,,,NA,,
BENZO(a)PYRENE,2.0E+01,carcinogenic effects,2.0E+01,,,NA,,
