TABLE K. 1NATURAL BACKGROUND CONCENTRATIONS OF METALS IN SOIL,,,,,
,,,,,
CHEMICAL PARAMETER,"Range
(mg/kg)","2Upper Bound
(mg/kg)","3Background Threshold Value
(mg/kg)","4Selected
Action Level
(mg/kg)",
ACENAPHTHENE,,,,,
ACENAPHTHYLENE,,,,,
ACETONE,,,,,
ALDRIN,,,,,
AMETRYN,,,,,
"AMINO,2- DINITROTOLUENE,4,6-",,,,,
"AMINO,4- DINITROTOLUENE,2,6-",,,,,
ANTHRACENE,,,,,
ANTIMONY,0.004-2.4,2.4E+00,2.4E+00,2.4E+00,
ARSENIC,0.3-50,2.4E+01,5.0E+01,2.4E+01,
ATRAZINE,,,,,
BARIUM,4.5-926,6.9E+02,9.3E+02,6.9E+02,
BENOMYL,,,,,
BENZENE,,,,,
BENZO(a)ANTHRACENE,,,,,
BENZO(a)PYRENE,,,,,
BENZO(b)FLUORANTHENE,,,,,
"BENZO(g,h,i)PERYLENE",,,,,
BENZO(k)FLUORANTHENE,,,,,
BERYLLIUM,0.05-3.8,3.0E+00,3.8E+00,3.0E+00,
"BIPHENYL, 1,1-",,,,,
BIS(2-CHLOROETHYL)ETHER,,,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,,,,,
BORON,,,,,
BROMODICHLOROMETHANE,,,,,
BROMOFORM,,,,,
BROMOMETHANE,,,,,
CADMIUM,0.02-17,2.3E+00,1.7E+01,2.3E+00,
CARBON TETRACHLORIDE,,,,,
CHLORDANE (TECHNICAL),,,,,
"CHLOROANILINE, p-",,,,,
CHLOROBENZENE,,,,,
CHLOROETHANE,,,,,
CHLOROFORM,,,,,
CHLOROMETHANE,,,,,
"CHLOROPHENOL, 2-",,,,,
CHROMIUM (Total),"8.52-3,180",1.1E+03,3.2E+03,1.1E+03,
CHROMIUM III,,,,,
CHROMIUM VI,,,,,
CHRYSENE,,,,,
COBALT,0.69-113,8.0E+01,1.1E+02,8.0E+01,
COPPER,2.4-450,2.5E+02,4.5E+02,2.5E+02,
CYANIDE (Free),,,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",,,,,
DALAPON,,,,,
"DIBENZO(a,h)ANTHTRACENE",,,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",,,,,
DIBROMOCHLOROMETHANE,,,,,
"DIBROMOETHANE, 1,2-",,,,,
"DICHLOROBENZENE, 1,2-",,,,,
"DICHLOROBENZENE, 1,3-",,,,,
"DICHLOROBENZENE, 1,4-",,,,,
"DICHLOROBENZIDINE, 3,3-",,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),,,,,
"DICHLOROETHANE, 1,1-",,,,,
"DICHLOROETHANE, 1,2-",,,,,
"DICHLOROETHYLENE, 1,1-",,,,,
"DICHLOROETHYLENE, Cis 1,2-",,,,,
"DICHLOROETHYLENE, Trans 1,2-",,,,,
"DICHLOROPHENOL, 2,4-",,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",,,,,
"DICHLOROPROPANE, 1,2-",,,,,
"DICHLOROPROPENE, 1,3-",,,,,
DIELDRIN,,,,,
DIETHYLPHTHALATE,,,,,
"DIMETHYLPHENOL, 2,4-",,,,,
DIMETHYLPHTHALATE,,,,,
"DINITROBENZENE, 1,3-",,,,,
"DINITROPHENOL, 2,4-",,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",,,,,
"DIOXANE, 1,4-",,,,,
DIOXINS (TEQ),,,,2.0E-05,
DIURON,,,,,
ENDOSULFAN,,,,,
ENDRIN,,,,,
ETHANOL,,,,,
ETHYLBENZENE,,,,,
FLUORANTHENE,,,,,
FLUORENE,,,,,
GLYPHOSATE,,,,,
HEPTACHLOR,,,,,
HEPTACHLOR EPOXIDE,,,,,
HEXACHLOROBENZENE,,,,,
HEXACHLOROBUTADIENE,,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,,,,,
HEXACHLOROETHANE,,,,,
HEXAZINONE,,,,,
"INDENO(1,2,3-cd)PYRENE",,,,,
ISOPHORONE,,,,,
LEAD,0.76-73,7.3E+01,7.3E+01,7.3E+01,
MERCURY,<0.017-1.4,7.2E-01,1.4E+00,7.2E-01,
METHOXYCHLOR,,,,,
METHYL ETHYL KETONE,,,,,
METHYL ISOBUTYL KETONE,,,,,
METHYL MERCURY,,,,,
METHYL TERT BUTYL ETHER,,,,,
METHYLENE CHLORIDE,,,,,
"METHYLNAPHTHALENE, 1-",,,,,
"METHYLNAPHTHALENE, 2-",,,,,
MOLYBDENUM,0.06-4.0,4.0E+00,4.0E+00,4.0E+00,
NAPHTHALENE,,,,,
NICKEL,2.1-767,4.1E+02,7.7E+02,4.1E+02,
NITROBENZENE,,,,,
NITROGLYCERIN,,,,,
"NITROTOLUENE, 2-",,,,,
"NITROTOLUENE, 3-",,,,,
"NITROTOLUENE, 4-",,,,,
PENTACHLOROPHENOL,,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),,,,,
PERCHLORATE,,,,,
PHENANTHRENE,,,,,
PHENOL,,,,,
POLYCHLORINATED BIPHENYLS (PCBs),,,,,
PROPICONAZOLE,,,,,
PYRENE,,,,,
SELENIUM,0.24-12,7.1E+00,1.2E+01,7.1E+00,
SILVER,0.02-1.5,1.5E+00,1.5E+00,1.5E+00,
SIMAZINE,,,,,
STYRENE,,,,,
TERBACIL,,,,,
tert-BUTYL ALCOHOL,,,,,
"TETRACHLOROETHANE, 1,1,1,2-",,,,,
"TETRACHLOROETHANE, 1,1,2,2-",,,,,
TETRACHLOROETHYLENE,,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",,,,,
THALLIUM,<0.25-15,2.5E-01,1.5E+01,2.5E-01,
TOLUENE,,,,,
TOXAPHENE,,,,,
TPH (gasolines),,,,,
TPH (middle distillates),,,,,
TPH (residual fuels),,,,,
"TRICHLOROBENZENE, 1,2,4-",,,,,
"TRICHLOROETHANE, 1,1,1-",,,,,
"TRICHLOROETHANE, 1,1,2-",,,,,
TRICHLOROETHYLENE,,,,,
"TRICHLOROPHENOL, 2,4,5-",,,,,
"TRICHLOROPHENOL, 2,4,6-",,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",,,,,
"TRICHLOROPROPANE, 1,2,3-",,,,,
"TRICHLOROPROPENE, 1,2,3-",,,,,
TRIFLURALIN,,,,,
"TRINITROBENZENE, 1,3,5-",,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",,,,,
VANADIUM,"0.25-1,090",7.7E+02,1.1E+03,7.7E+02,
VINYL CHLORIDE,,,,,
XYLENES,,,,,
ZINC,"3.6-1,200",3.5E+02,1.2E+03,3.5E+02,
"Electrical Conductivity
(mS/cm, USEPA Method 120.1 MOD)",,,,,
Sodium Adsorption Ratio,,,,,
"Primary Reference: Evaluation of Background Metal Concentrations in Soils of the Hawaiian Islands (HDOH 2011a).  Refer to Appendix 1, Section 6.1.",,,,,
Notes:,,,,,
1. Excludes samples with known or suspected anthropogenic contamination (see primary reference).,,,,,
2. Upper Bound concentration selected based on evaluation of univariate sample data plots.,,,,,
"3. Background Threshold Value set to maximum-reported concentration, excluding samples with suspected anthropogenic contamination.",,,,,
4. Selected action level based on Upper Bound concentration unless otherwise noted.,,,,,
"5. BTV for arsenic based on profession judgment (widespread use as herbicide; clear break from anticipated, natural background not apparent on univariate graphs).",,,,,
"6. BTV for lead set equal to selected, Upper Bound concentration (common contamination of soil with leaded paint or auto exhaust from leaded gasoline; clear break from anticipated, natural background not apparent on univariate graphs).",,,,,
7. TEQ dioxin background based on HEER office internal review of data across the state (see HDOH 2010 memo).  Could be higher in some areas.,,,,,
,,,,,
