"TABLE C-3. INDOOR AIR ACTION LEVELS
(volatile chemicals only)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Health-Based Action Levels,,,,,,,,"50% Odor
Recognition
Threshold
(Table F-2)",,,
,,,Unit Risk,Reference,1Unrestricted Land Use,,,Commercial/Industrial Use Only,,,,,,
,,,Factor,Concentration,Lowest,Indoor Air,Indoor Air,Lowest,Indoor Air,Indoor Air,,,,
,Physical,,URF,RfC,Residential,(carcinogens),(noncarcinogens),C/I,(carcinogens),(noncarcinogens),,,,
CHEMICAL PARAMETER,State,,(ug/m3)-1,(ug/m3),(ug/m3),(ug/m3),(ug/m3),(ug/m3),(ug/m3),(ug/m3),(ug/m3),,,
ACENAPHTHENE,V,S,,2.4E+02,5.0E+01,,5.0E+01,2.1E+02,,2.1E+02,5.13E+02,,,
ACENAPHTHYLENE,V,S,,1.6E+02,3.3E+01,,3.3E+01,1.4E+02,,1.4E+02,-,,,
ACETONE,V,L,,3.1E+04,6.5E+03,,6.5E+03,2.7E+04,,2.7E+04,3.09E+04,,,
ALDRIN,SV,S,8.5E-04,4.0E-01,2.1E-01,3.3E-01,2.1E-01,8.8E-01,1.4E+00,8.8E-01,2.63E+02,,,
AMETRYN,NV,S,,,,,,,,,-,,,
"AMINO,2- DINITROTOLUENE,4,6-",NV,S,,,,,,,,,-,,,
"AMINO,4- DINITROTOLUENE,2,6-",NV,S,,,,,,,,,-,,,
ANTHRACENE,V,S,,1.2E+03,2.5E+02,,2.5E+02,1.1E+03,,1.1E+03,-,,,
ANTIMONY,NV,S,,,,,,,,,-,,,
ARSENIC,NV,S,,,,,,,,,-,,,
ATRAZINE,NV,S,,,,,,,,,-,,,
BARIUM,NV,S,,,,,,,,,-,,,
BENOMYL,NV,S,,,,,,,,,-,,,
BENZENE,V,L,7.8E-06,3.0E+01,3.6E-01,3.6E-01,6.3E+00,1.6E+00,1.6E+00,2.6E+01,4.89E+03,,,
BENZO(a)ANTHRACENE,SV,S,1.1E-04,,9.2E-01,9.2E-01,,1.1E+00,1.1E+00,,-,,,
BENZO(a)PYRENE,NV,S,,,,,,,,,-,,,
BENZO(b)FLUORANTHENE,NV,S,,,,,,,,,-,,,
"BENZO(g,h,i)PERYLENE",NV,S,,,,,,,,,-,,,
BENZO(k)FLUORANTHENE,NV,S,,,,,,,,,-,,,
BERYLLIUM,NV,S,,,,,,,,,-,,,
"BIPHENYL, 1,1-",V,S,2.0E-06,4.0E-01,8.3E-02,1.4E+00,8.3E-02,3.5E-01,6.1E+00,3.5E-01,6.00E+01,,,
BIS(2-CHLOROETHYL)ETHER,V,L,3.3E-04,,8.5E-03,8.5E-03,,3.7E-02,3.7E-02,,2.87E+02,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,V,L,1.0E-05,1.4E+02,2.8E-01,2.8E-01,2.9E+01,1.2E+00,1.2E+00,1.2E+02,2.24E+03,,,
BIS(2-ETHYLHEXYL)PHTHALATE,NV,S,,,,,,,,,-,,,
BORON,NV,S,,,,,,,,,-,,,
BROMODICHLOROMETHANE,V,L,3.7E-05,8.0E+01,7.6E-02,7.6E-02,1.7E+01,3.3E-01,3.3E-01,7.0E+01,1.10E+07,,,
BROMOFORM,SV,S,1.1E-06,,2.6E+00,2.6E+00,,1.1E+01,1.1E+01,,1.35E+04,,,
BROMOMETHANE,V,G,,5.0E+00,1.0E+00,,1.0E+00,4.4E+00,,4.4E+00,8.00E+04,,,
CADMIUM,NV,S,,,,,,,,,-,,,
CARBON TETRACHLORIDE,V,L,6.0E-06,1.0E+02,4.7E-01,4.7E-01,2.1E+01,2.0E+00,2.0E+00,8.8E+01,6.30E+04,,,
CHLORDANE (TECHNICAL),SV,S,1.0E-04,7.0E-01,2.8E-01,2.8E-01,7.3E-01,1.2E+00,1.2E+00,3.1E+00,8.40E+00,,,
"CHLOROANILINE, p-",NV,S,,,,,,,,,-,,,
CHLOROBENZENE,V,L,,5.0E+01,1.0E+01,,1.0E+01,4.4E+01,,4.4E+01,1.00E+03,,,
CHLOROETHANE,V,G,,1.0E+04,2.1E+03,,2.1E+03,8.8E+03,,8.8E+03,3.80E+05,,,
CHLOROFORM,V,L,2.3E-05,9.8E+01,1.2E-01,1.2E-01,2.0E+01,5.3E-01,5.3E-01,8.6E+01,4.22E+05,,,
CHLOROMETHANE,V,G,,9.0E+01,1.9E+01,,1.9E+01,7.9E+01,,7.9E+01,-,,,
"CHLOROPHENOL, 2-",V,L,,2.0E+01,4.2E+00,,4.2E+00,1.8E+01,,1.8E+01,1.90E+01,,,
CHROMIUM (Total),NV,S,,,,,,,,,-,,,
CHROMIUM III,NV,S,,,,,,,,,-,,,
CHROMIUM VI,NV,S,,,,,,,,,-,,,
CHRYSENE,NV,S,,,,,,,,,-,,,
COBALT,NV,S,,,,,,,,,-,,,
COPPER,NV,S,,,,,,,,,-,,,
CYANIDE (Free),V,S,,8.0E-01,1.7E-01,,1.7E-01,7.0E-01,,7.0E-01,6.52E+02,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",NV,S,,,,,,,,,-,,,
DALAPON,NV,L,,,,,,,,,-,,,
"DIBENZO(a,h)ANTHTRACENE",NV,S,,,,,,,,,-,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",V,L,6.0E-03,2.0E-01,1.7E-04,1.7E-04,4.2E-02,2.0E-03,2.0E-03,1.8E-01,-,,,
DIBROMOCHLOROMETHANE,V,S,2.1E-05,8.0E+01,1.3E-01,1.3E-01,1.7E+01,5.8E-01,5.8E-01,7.0E+01,-,,,
"DIBROMOETHANE, 1,2-",V,S,6.0E-04,9.0E+00,4.7E-03,4.7E-03,1.9E+00,2.0E-02,2.0E-02,7.9E+00,2.00E+05,,,
"DICHLOROBENZENE, 1,2-",V,L,,2.0E+02,4.2E+01,,4.2E+01,1.8E+02,,1.8E+02,3.05E+05,,,
"DICHLOROBENZENE, 1,3-",V,L,,1.2E+02,2.5E+01,,2.5E+01,1.1E+02,,1.1E+02,-,,,
"DICHLOROBENZENE, 1,4-",V,S,1.1E-05,8.0E+02,2.6E-01,2.6E-01,1.7E+02,1.1E+00,1.1E+00,7.0E+02,1.10E+03,,,
"DICHLOROBENZIDINE, 3,3-",NV,S,,,,,,,,,-,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),NV,S,,,,,,,,,-,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),SV,S,9.7E-05,,2.9E-02,2.9E-02,,1.3E-01,1.3E-01,,-,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),NV,S,,,,,,,,,-,,,
"DICHLOROETHANE, 1,1-",V,L,1.6E-06,8.0E+02,1.8E+00,1.8E+00,1.7E+02,7.7E+00,7.7E+00,7.0E+02,1.25E+05,,,
"DICHLOROETHANE, 1,2-",V,L,2.6E-05,7.0E+00,1.1E-01,1.1E-01,1.5E+00,4.7E-01,4.7E-01,6.1E+00,2.42E+03,,,
"DICHLOROETHYLENE, 1,1-",V,L,,2.0E+02,4.2E+01,,4.2E+01,1.8E+02,,1.8E+02,2.00E+06,,,
"DICHLOROETHYLENE, Cis 1,2-",V,L,,8.0E+00,1.7E+00,,1.7E+00,7.0E+00,,7.0E+00,-,,,
"DICHLOROETHYLENE, Trans 1,2-",V,L,,8.0E+01,1.7E+01,,1.7E+01,7.0E+01,,7.0E+01,6.73E+04,,,
"DICHLOROPHENOL, 2,4-",NV,S,,,,,,,,,1.40E+03,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",NV,S,,,,,,,,,-,,,
"DICHLOROPROPANE, 1,2-",V,L,1.0E-05,4.0E+00,2.8E-01,2.8E-01,8.3E-01,1.2E+00,1.2E+00,3.5E+00,1.19E+03,,,
"DICHLOROPROPENE, 1,3-",V,L,4.0E-06,2.0E+01,7.0E-01,7.0E-01,4.2E+00,3.1E+00,3.1E+00,1.8E+01,4.16E+03,,,
DIELDRIN,NV,S,,,,,,,,,-,,,
DIETHYLPHTHALATE,NV,S,,,,,,,,,-,,,
"DIMETHYLPHENOL, 2,4-",NV,S,,,,,,,,,1.00E+00,,,
DIMETHYLPHTHALATE,NV,S,,,,,,,,,-,,,
"DINITROBENZENE, 1,3-",NV,S,,,,,,,,,-,,,
"DINITROPHENOL, 2,4-",NV,S,,,,,,,,,-,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",NV,S,,,,,,,,,-,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",NV,S,,,,,,,,,-,,,
"DIOXANE, 1,4-",V,L,5.0E-06,3.0E+01,5.6E-01,5.6E-01,6.3E+00,2.5E+00,2.5E+00,2.6E+01,6.12E+05,,,
DIOXINS (TEQ),SV,S,3.8E+01,1.3E-05,7.4E-06,7.4E-06,1.4E-05,3.2E-05,3.2E-05,5.8E-05,-,,,
DIURON,NV,S,,,,,,,,,-,,,
ENDOSULFAN,SV,S,,,,,,,,,-,,,
ENDRIN,NV,S,,,,,,,,,-,,,
ETHANOL,V,L,,,,,,,,,1.92E+04,,,
ETHYLBENZENE,V,L,2.5E-06,1.0E+03,1.1E+01,1.1E+01,2.1E+02,4.9E+01,4.9E+01,8.8E+02,2.00E+03,,,
FLUORANTHENE,NV,S,,,,,,,,,-,,,
FLUORENE,V,S,,1.6E+02,3.3E+01,,3.3E+01,1.4E+02,,1.4E+02,-,,,
GLYPHOSATE,NV,S,,,,,,,,,-,,,
HEPTACHLOR,SV,S,1.3E-03,,2.2E-03,2.2E-03,,9.4E-03,9.4E-03,,3.00E+02,,,
HEPTACHLOR EPOXIDE,SV,S,2.6E-03,,1.1E-03,1.1E-03,,4.7E-03,4.7E-03,,3.00E+02,,,
HEXACHLOROBENZENE,SV,S,4.6E-04,,6.1E-03,6.1E-03,,2.7E-02,2.7E-02,,-,,,
