"TABLE D-1a. GROUNDWATER ACTION LEVELS
(Groundwater IS a current or potential drinking water resource)
(Surface water body IS located within 150 meters of release site)",,,,,,,
(ug/l),,,,,,,
,,,,,,,
CONTAMINANT,1Final Groundwater Action Level,,"Gross Contamination
(Taste & Odors, etc.)","Drinking Water
Toxicity","Vapor Intrusion
Into Buildings","Aquatic
Habitat
Impacts
(chronic)",
,,Basis,Table G-1,Table D-3a,Table C-1a,Table D-4a,
ACENAPHTHENE,1.5E+01,Aquatic Habitat Goal,2.0E+01,3.5E+02,3.9E+03,1.5E+01,
ACENAPHTHYLENE,1.3E+01,Aquatic Habitat Goal,2.0E+03,2.4E+02,(Use soil gas),1.3E+01,
ACETONE,1.5E+03,Aquatic Habitat Goal,2.0E+04,1.4E+04,6.2E+08,1.5E+03,
ALDRIN,1.4E-04,Aquatic Habitat Goal,8.5E+00,5.1E-03,,1.4E-04,
AMETRYN,1.8E+02,Drinking Water Toxicity,5.0E+04,1.8E+02,,7.0E+02,
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,Aquatic Habitat Goal,5.0E+04,4.0E+01,,1.8E+01,
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,Aquatic Habitat Goal,5.0E+04,4.0E+01,,1.1E+01,
ANTHRACENE,2.0E-02,Aquatic Habitat Goal,2.2E+01,1.8E+03,4.3E+01,2.0E-02,
ANTIMONY,6.0E+00,Drinking Water Toxicity,5.0E+04,6.0E+00,,3.0E+01,
ARSENIC,1.0E+01,Drinking Water Toxicity,5.0E+04,1.0E+01,,3.6E+01,
ATRAZINE,3.0E+00,Drinking Water Toxicity,2.0E+01,3.0E+00,,1.2E+01,
BARIUM,2.2E+02,Aquatic Habitat Goal,5.0E+04,2.0E+03,,2.2E+02,
BENOMYL,1.4E-01,Aquatic Habitat Goal,1.9E+03,1.0E+03,,1.4E-01,
BENZENE,5.0E+00,Drinking Water Toxicity,1.7E+02,5.0E+00,2.3E+03,7.1E+01,
BENZO(a)ANTHRACENE,1.1E-02,Drinking Water Toxicity,4.7E+00,1.1E-02,,2.7E-02,
BENZO(a)PYRENE,6.0E-02,Aquatic Habitat Goal,8.0E-01,2.0E-01,,6.0E-02,
BENZO(b)FLUORANTHENE,2.9E-02,Drinking Water Toxicity,7.5E-01,2.9E-02,,6.8E-01,
"BENZO(g,h,i)PERYLENE",1.3E-01,Gross Contamination,1.3E-01,8.0E+02,,4.4E-01,
BENZO(k)FLUORANTHENE,2.9E-01,Drinking Water Toxicity,4.0E-01,2.9E-01,,6.4E-01,
BERYLLIUM,6.6E-01,Aquatic Habitat Goal,5.0E+04,4.0E+00,,6.6E-01,
"BIPHENYL, 1,1-",5.0E-01,Gross Contamination,5.0E-01,8.3E-01,(Use soil gas),6.5E+00,
BIS(2-CHLOROETHYL)ETHER,1.4E-02,Drinking Water Toxicity,3.6E+02,1.4E-02,1.8E+02,2.4E+03,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,Aquatic Habitat Goal,3.2E+02,3.7E-01,(Use soil gas),3.7E-01,
BIS(2-ETHYLHEXYL)PHTHALATE,3.0E+00,Aquatic Habitat Goal,1.4E+02,6.0E+00,,3.0E+00,
BORON,1.0E+03,Aquatic Habitat Goal,5.0E+04,4.0E+03,,1.0E+03,
BROMODICHLOROMETHANE,1.4E-01,Drinking Water Toxicity,5.0E+04,1.4E-01,1.1E+02,3.4E+02,
BROMOFORM,8.0E+01,Drinking Water Toxicity,5.1E+02,8.0E+01,,2.3E+02,
BROMOMETHANE,7.6E+00,Drinking Water Toxicity,5.0E+04,7.6E+00,4.1E+02,1.6E+01,
CADMIUM,3.0E+00,Aquatic Habitat Goal,5.0E+04,5.0E+00,,3.0E+00,
CARBON TETRACHLORIDE,5.0E+00,Drinking Water Toxicity,5.2E+02,5.0E+00,1.1E+02,9.8E+00,
CHLORDANE (TECHNICAL),4.0E-03,Aquatic Habitat Goal,2.5E+00,2.0E+00,,4.0E-03,
