"TABLE D-1c. GROUNDWATER ACTION LEVELS
(Groundwater IS NOT a current or potential drinking water resource)
(Surface water body IS located within 150m of release site)",,,,,,
(ug/l),,,,,,
,,,,,,
CONTAMINANT,1Final Groundwater Action Level,,"Gross Contamination
(Odors, etc.)","Vapor Intrusion
Into Buildings","Aquatic
Habitat
Impacts
(chronic)",
,,Basis,Table G-2,Table C-1a,Table D-4a,
ACENAPHTHENE,1.5E+01,Aquatic Habitat Goal,2.0E+02,3.9E+03,1.5E+01,
ACENAPHTHYLENE,1.3E+01,Aquatic Habitat Goal,2.0E+03,(Use soil gas),1.3E+01,
ACETONE,1.5E+03,Aquatic Habitat Goal,5.0E+04,6.2E+08,1.5E+03,
ALDRIN,1.4E-04,Aquatic Habitat Goal,8.5E+00,,1.4E-04,
AMETRYN,7.0E+02,Aquatic Habitat Goal,5.0E+04,,7.0E+02,
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,Aquatic Habitat Goal,5.0E+04,,1.8E+01,
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,Aquatic Habitat Goal,5.0E+04,,1.1E+01,
ANTHRACENE,2.0E-02,Aquatic Habitat Goal,2.2E+01,4.3E+01,2.0E-02,
ANTIMONY,3.0E+01,Aquatic Habitat Goal,5.0E+04,,3.0E+01,
ARSENIC,3.6E+01,Aquatic Habitat Goal,5.0E+04,,3.6E+01,
ATRAZINE,1.2E+01,Aquatic Habitat Goal,1.8E+04,,1.2E+01,
BARIUM,2.2E+02,Aquatic Habitat Goal,5.0E+04,,2.2E+02,
BENOMYL,1.4E-01,Aquatic Habitat Goal,1.9E+03,,1.4E-01,
BENZENE,7.1E+01,Aquatic Habitat Goal,2.0E+04,2.3E+03,7.1E+01,
BENZO(a)ANTHRACENE,2.7E-02,Aquatic Habitat Goal,4.7E+00,,2.7E-02,
BENZO(a)PYRENE,6.0E-02,Aquatic Habitat Goal,8.0E-01,,6.0E-02,
BENZO(b)FLUORANTHENE,6.8E-01,Aquatic Habitat Goal,7.5E-01,,6.8E-01,
"BENZO(g,h,i)PERYLENE",1.3E-01,Gross Contamination,1.3E-01,,4.4E-01,
BENZO(k)FLUORANTHENE,4.0E-01,Gross Contamination,4.0E-01,,6.4E-01,
BERYLLIUM,6.6E-01,Aquatic Habitat Goal,5.0E+04,,6.6E-01,
"BIPHENYL, 1,1-",5.0E+00,Gross Contamination,5.0E+00,(Use soil gas),6.5E+00,
BIS(2-CHLOROETHYL)ETHER,1.8E+02,Vapor Intrusion,3.6E+03,1.8E+02,2.4E+03,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,Aquatic Habitat Goal,3.2E+03,(Use soil gas),3.7E-01,
BIS(2-ETHYLHEXYL)PHTHALATE,3.0E+00,Aquatic Habitat Goal,1.4E+02,,3.0E+00,
BORON,1.0E+03,Aquatic Habitat Goal,5.0E+04,,1.0E+03,
BROMODICHLOROMETHANE,1.1E+02,Vapor Intrusion,5.0E+04,1.1E+02,3.4E+02,
BROMOFORM,2.3E+02,Aquatic Habitat Goal,5.1E+03,,2.3E+02,
BROMOMETHANE,1.6E+01,Aquatic Habitat Goal,5.0E+04,4.1E+02,1.6E+01,
CADMIUM,3.0E+00,Aquatic Habitat Goal,5.0E+04,,3.0E+00,
CARBON TETRACHLORIDE,9.8E+00,Aquatic Habitat Goal,5.2E+03,1.1E+02,9.8E+00,
CHLORDANE (TECHNICAL),4.0E-03,Aquatic Habitat Goal,2.5E+01,,4.0E-03,
"CHLOROANILINE, p-",1.9E+01,Aquatic Habitat Goal,5.0E+04,,1.9E+01,
CHLOROBENZENE,2.5E+01,Aquatic Habitat Goal,5.0E+02,1.2E+04,2.5E+01,
CHLOROETHANE,1.6E+02,Gross Contamination,1.6E+02,6.0E+05,2.1E+04,
CHLOROFORM,2.8E+01,Aquatic Habitat Goal,2.4E+04,1.1E+02,2.8E+01,
CHLOROMETHANE,1.9E+02,Aquatic Habitat Goal,5.0E+04,5.2E+03,1.9E+02,
