"TABLE D-2a. SURFACE WATER ACTION LEVELS
Fresh Water Habitats",,,,,,
(ug/l),,,,,,
,,,,,,
,"1Final
Surface Water Action Level",,"Gross Contamination
(Taste & Odors, etc.)","Drinking Water
(Toxicity)","Fresh Water
Aquatic
Habitat Goal
(Chronic Toxicity)","Bioaccumulation
and Human Consumption"
CHEMICAL PARAMETER,,Basis,Table G-3,Table D-3a,Table D-4a,Table D-4f
ACENAPHTHENE,1.5E+01,Aquatic Habitat Chronic Toxicity,2.0E+01,3.5E+02,1.5E+01,9.9E+02
ACENAPHTHYLENE,1.3E+01,Aquatic Habitat Chronic Toxicity,2.0E+03,2.4E+02,1.3E+01,
ACETONE,1.7E+03,Aquatic Habitat Chronic Toxicity,2.0E+04,1.4E+04,1.7E+03,
ALDRIN,2.6E-05,Bioaccumulation/Human Consumption,8.5E+00,5.1E-03,3.5E-02,2.6E-05
AMETRYN,1.8E+02,Drinking Water Toxicity,5.0E+04,1.8E+02,7.0E+02,
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,4.0E+01,1.8E+01,
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,4.0E+01,1.1E+01,
ANTHRACENE,2.0E-02,Aquatic Habitat Chronic Toxicity,2.2E+01,1.8E+03,2.0E-02,4.0E+04
ANTIMONY,6.0E+00,Drinking Water Toxicity,5.0E+04,6.0E+00,1.3E+02,1.5E+04
ARSENIC,1.4E-01,Bioaccumulation/Human Consumption,5.0E+04,1.0E+01,1.9E+02,1.4E-01
ATRAZINE,3.0E+00,Drinking Water Toxicity,2.0E+01,3.0E+00,1.2E+01,
BARIUM,2.2E+02,Aquatic Habitat Chronic Toxicity,5.0E+04,2.0E+03,2.2E+02,
BENOMYL,1.4E-01,Aquatic Habitat Chronic Toxicity,1.9E+03,1.0E+03,1.4E-01,
BENZENE,5.0E+00,Drinking Water Toxicity,1.7E+02,5.0E+00,1.6E+02,1.3E+01
BENZO(a)ANTHRACENE,1.1E-02,Drinking Water Toxicity,4.7E+00,1.1E-02,4.7E+00,1.8E-02
BENZO(a)PYRENE,1.8E-02,Bioaccumulation/Human Consumption,8.0E-01,2.0E-01,6.0E-02,1.8E-02
BENZO(b)FLUORANTHENE,1.8E-02,Bioaccumulation/Human Consumption,7.5E-01,2.9E-02,2.6E+00,1.8E-02
"BENZO(g,h,i)PERYLENE",1.3E-01,Ceiling Value,1.3E-01,8.0E+02,4.4E-01,
BENZO(k)FLUORANTHENE,1.8E-02,Bioaccumulation/Human Consumption,4.0E-01,2.9E-01,6.4E-01,1.8E-02
BERYLLIUM,3.8E-02,Bioaccumulation/Human Consumption,5.0E+04,4.0E+00,1.1E+01,3.8E-02
"BIPHENYL, 1,1-",5.0E-01,Ceiling Value,5.0E-01,8.3E-01,6.5E+00,
BIS(2-CHLOROETHYL)ETHER,1.4E-02,Drinking Water Toxicity,3.6E+02,1.4E-02,2.4E+03,4.4E-01
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,Drinking Water Toxicity,3.2E+02,3.7E-01,3.7E-01,1.4E+03
BIS(2-ETHYLHEXYL)PHTHALATE,2.2E+00,Bioaccumulation/Human Consumption,1.4E+02,6.0E+00,3.0E+00,2.2E+00
BORON,4.0E+03,Drinking Water Toxicity,5.0E+04,4.0E+03,7.2E+03,
BROMODICHLOROMETHANE,1.4E-01,Drinking Water Toxicity,5.0E+04,1.4E-01,3.4E+02,
BROMOFORM,8.0E+01,Drinking Water Toxicity,5.1E+02,8.0E+01,2.3E+02,1.4E+02
BROMOMETHANE,7.6E+00,Drinking Water Toxicity,5.0E+04,7.6E+00,1.6E+01,1.5E+03
CADMIUM,3.0E+00,Aquatic Habitat Chronic Toxicity,5.0E+04,5.0E+00,3.0E+00,
CARBON TETRACHLORIDE,2.3E+00,Bioaccumulation/Human Consumption,5.2E+02,5.0E+00,7.7E+01,2.3E+00
CHLORDANE (TECHNICAL),1.6E-05,Bioaccumulation/Human Consumption,2.5E+00,2.0E+00,4.3E-03,1.6E-05
"CHLOROANILINE, p-",3.9E-01,Drinking Water Toxicity,5.0E+04,3.9E-01,1.9E+01,
CHLOROBENZENE,2.5E+01,Aquatic Habitat Chronic Toxicity,5.0E+01,1.0E+02,2.5E+01,2.1E+04
CHLOROETHANE,1.6E+01,Ceiling Value,1.6E+01,2.1E+04,2.1E+04,
CHLOROFORM,5.1E+00,Bioaccumulation/Human Consumption,2.4E+03,7.0E+01,1.4E+02,5.1E+00
CHLOROMETHANE,1.9E+02,Drinking Water Toxicity,5.0E+04,1.9E+02,1.9E+02,
"CHLOROPHENOL, 2-",1.8E-01,Ceiling Value,1.8E-01,2.9E+01,3.2E+01,1.5E+02
CHROMIUM (Total),1.1E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,1.0E+02,1.1E+01,
CHROMIUM III,7.4E+01,Aquatic Habitat Chronic Toxicity,5.0E+04,3.0E+04,7.4E+01,
CHROMIUM VI,4.3E+00,Drinking Water Toxicity,5.0E+04,4.3E+00,1.1E+01,
CHRYSENE,1.8E-02,Bioaccumulation/Human Consumption,1.0E+00,2.9E+00,4.7E+00,1.8E-02
COBALT,6.0E+00,Drinking Water Toxicity,5.0E+04,6.0E+00,1.9E+01,
COPPER,6.0E+00,Aquatic Habitat Chronic Toxicity,1.0E+03,1.3E+03,6.0E+00,
CYANIDE (Free),5.2E+00,Aquatic Habitat Chronic Toxicity,1.7E+02,2.0E+02,5.2E+00,2.2E+05
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.1E-01,Drinking Water Toxicity,3.0E+04,7.1E-01,7.9E+01,
DALAPON,2.0E+02,Drinking Water Toxicity,5.0E+04,2.0E+02,3.0E+02,
"DIBENZO(a,h)ANTHTRACENE",2.9E-03,Drinking Water Toxicity,1.3E+00,2.9E-03,8.0E-01,1.8E-02
"DIBROMO,1,2- CHLOROPROPANE,3-",4.0E-02,Drinking Water Toxicity,1.0E+01,4.0E-02,4.0E-02,
