TABLE D-3a. FINAL DRINKING WATER ACTION LEVELS FOR HUMAN TOXICITY.,,,,,,,,,,,,,
(ug/L),,,,,,,,,,,,,
,,,,,,,,,,,,,
CHEMICAL PARAMETER,"Final
Action
Level",Basis,"HDOH
Primary MCL","Other 
Criteria",Reference,"Risk-Based Action Level
(Table D-3b)",Basis,,,,,,
ACENAPHTHENE,3.5E+02,noncarcinogenic effects,,,,3.5E+02,noncarcinogenic effects,,,,,,
ACENAPHTHYLENE,2.4E+02,noncarcinogenic effects,,,,2.4E+02,noncarcinogenic effects,,,,,,
ACETONE,1.4E+04,noncarcinogenic effects,,,,1.4E+04,noncarcinogenic effects,,,,,,
ALDRIN,5.1E-03,carcinogenic effects,,,,5.1E-03,carcinogenic effects,,,,,,
AMETRYN,1.8E+02,noncarcinogenic effects,,,,1.8E+02,noncarcinogenic effects,,,,,,
"AMINO,2- DINITROTOLUENE,4,6-",4.0E+01,noncarcinogenic effects,,,,4.0E+01,noncarcinogenic effects,,,,,,
"AMINO,4- DINITROTOLUENE,2,6-",4.0E+01,noncarcinogenic effects,,,,4.0E+01,noncarcinogenic effects,,,,,,
ANTHRACENE,1.8E+03,noncarcinogenic effects,,,,1.8E+03,noncarcinogenic effects,,,,,,
ANTIMONY,6.0E+00,HDOH Primary MCL,6.0E+00,,,8.0E+00,noncarcinogenic effects,,,,,,
ARSENIC,1.0E+01,HDOH Primary MCL,1.0E+01,,,5.2E-02,carcinogenic effects,,,,,,
ATRAZINE,3.0E+00,HDOH Primary MCL,3.0E+00,,,3.4E-01,carcinogenic effects,,,,,,
BARIUM,2.0E+03,HDOH Primary MCL,2.0E+03,,,4.0E+03,noncarcinogenic effects,,,,,,
BENOMYL,1.0E+03,noncarcinogenic effects,,,,1.0E+03,noncarcinogenic effects,,,,,,
BENZENE,5.0E+00,HDOH Primary MCL,5.0E+00,,,4.8E-01,carcinogenic effects,,,,,,
BENZO(a)ANTHRACENE,1.1E-02,mutagenic effects,,,,1.1E-02,mutagenic effects,,,,,,
BENZO(a)PYRENE,2.0E-01,HDOH Primary MCL,2.0E-01,,,2.9E-03,mutagenic effects,,,,,,
BENZO(b)FLUORANTHENE,2.9E-02,mutagenic effects,,,,2.9E-02,mutagenic effects,,,,,,
"BENZO(g,h,i)PERYLENE",8.0E+02,noncarcinogenic effects,,,,8.0E+02,noncarcinogenic effects,,,,,,
BENZO(k)FLUORANTHENE,2.9E-01,mutagenic effects,,,,2.9E-01,mutagenic effects,,,,,,
BERYLLIUM,4.0E+00,HDOH Primary MCL,4.0E+00,,,4.0E+01,noncarcinogenic effects,,,,,,
"BIPHENYL, 1,1-",8.3E-01,noncarcinogenic effects,,,,8.3E-01,noncarcinogenic effects,,,,,,
BIS(2-CHLOROETHYL)ETHER,1.4E-02,carcinogenic effects,,,,1.4E-02,carcinogenic effects,,,,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,carcinogenic effects,,,,3.7E-01,carcinogenic effects,,,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,6.0E+00,HDOH Primary MCL,6.0E+00,,,5.6E+00,carcinogenic effects,,,,,,
BORON,4.0E+03,noncarcinogenic effects,,,,4.0E+03,noncarcinogenic effects,,,,,,
BROMODICHLOROMETHANE,1.4E-01,carcinogenic effects,,,,1.4E-01,carcinogenic effects,,,,,,
BROMOFORM,8.0E+01,HDOH Primary MCL,8.0E+01,,Total Trihalomethanes,3.4E+00,carcinogenic effects,,,,,,
BROMOMETHANE,7.6E+00,noncarcinogenic effects,,,,7.6E+00,noncarcinogenic effects,,,,,,
CADMIUM,5.0E+00,HDOH Primary MCL,5.0E+00,,,2.0E+01,noncarcinogenic effects,,,,,,
CARBON TETRACHLORIDE,5.0E+00,HDOH Primary MCL,5.0E+00,,,5.1E-01,carcinogenic effects,,,,,,
CHLORDANE (TECHNICAL),2.0E+00,HDOH Primary MCL,2.0E+00,,,4.5E-02,carcinogenic effects,,,,,,
"CHLOROANILINE, p-",3.9E-01,carcinogenic effects,,,,3.9E-01,carcinogenic effects,,,,,,
CHLOROBENZENE,1.0E+02,HDOH Primary MCL,1.0E+02,,,8.3E+01,noncarcinogenic effects,,,,,,
CHLOROETHANE,2.1E+04,noncarcinogenic effects,,,,2.1E+04,noncarcinogenic effects,,,,,,
CHLOROFORM,7.0E+01,HDOH public health goal,,7.0E+01,HDOH public health goal,2.2E-01,carcinogenic effects,,,,,,
CHLOROMETHANE,1.9E+02,noncarcinogenic effects,,,,1.9E+02,noncarcinogenic effects,,,,,,
"CHLOROPHENOL, 2-",2.9E+01,noncarcinogenic effects,,,,2.9E+01,noncarcinogenic effects,,,,,,
