TABLE D-4a.  SUMMARY OF AQUATIC HABITAT GOALS,,,,,,,
,,,,,,,
,Estuarine,,Freshwater,,Marine,,
CONTAMINANT,"Chronic
Aquatic
Toxicity
 (ug/L)","Acute
Aquatic
Toxicity
 (ug/L)","Chronic
Aquatic
Toxicity
 (ug/L)","Acute
Aquatic
Toxicity
 (ug/L)","Chronic
Aquatic
Toxicity
 (ug/L)","Acute
Aquatic
Toxicity
 (ug/L)",
ACENAPHTHENE,1.5E+01,3.2E+02,1.5E+01,5.7E+02,2.0E+01,3.2E+02,
ACENAPHTHYLENE,1.3E+01,3.0E+02,1.3E+01,3.0E+02,3.1E+02,3.0E+02,
ACETONE,1.5E+03,1.5E+04,1.7E+03,1.5E+04,1.5E+03,2.8E+04,
ALDRIN,1.4E-04,1.3E+00,3.5E-02,3.0E+00,1.4E-04,1.3E+00,
AMETRYN,7.0E+02,1.8E+03,7.0E+02,1.8E+03,7.0E+02,1.8E+03,
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,1.6E+02,1.8E+01,1.6E+02,2.0E+01,1.8E+02,
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,9.8E+01,1.1E+01,9.8E+01,1.1E+01,9.8E+01,
ANTHRACENE,2.0E-02,1.8E-01,2.0E-02,1.8E-01,7.3E-01,1.3E+01,
ANTIMONY,3.0E+01,1.8E+02,1.3E+02,3.0E+03,3.0E+01,1.8E+02,
ARSENIC,3.6E+01,6.9E+01,1.9E+02,3.6E+02,3.6E+01,6.9E+01,
ATRAZINE,1.2E+01,3.3E+02,1.2E+01,3.3E+02,1.2E+01,3.3E+02,
BARIUM,2.2E+02,2.0E+03,2.2E+02,2.0E+03,2.2E+02,2.0E+03,
BENOMYL,1.4E-01,2.8E+00,1.4E-01,2.8E+00,1.4E-01,2.8E+00,
BENZENE,7.1E+01,1.7E+03,1.6E+02,1.8E+03,7.1E+01,1.7E+03,
BENZO(a)ANTHRACENE,2.7E-02,3.0E+02,4.7E+00,3.0E+02,2.7E-02,3.0E+02,
BENZO(a)PYRENE,6.0E-02,3.0E+02,6.0E-02,3.0E+02,3.0E-01,3.0E+02,
BENZO(b)FLUORANTHENE,6.8E-01,3.0E+02,2.6E+00,3.0E+02,6.8E-01,3.0E+02,
"BENZO(g,h,i)PERYLENE",4.4E-01,3.0E+02,4.4E-01,3.0E+02,4.4E-01,3.0E+02,
BENZO(k)FLUORANTHENE,6.4E-01,3.0E+02,6.4E-01,3.0E+02,6.4E-01,3.0E+02,
BERYLLIUM,6.6E-01,3.5E+01,1.1E+01,4.3E+01,6.6E-01,3.5E+01,
"BIPHENYL, 1,1-",6.5E+00,2.6E+01,6.5E+00,2.6E+01,1.4E+01,2.6E+01,
BIS(2-CHLOROETHYL)ETHER,2.4E+03,2.4E+04,2.4E+03,2.4E+04,2.4E+03,2.4E+04,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,3.7E-01,3.7E-01,3.7E-01,3.7E-01,3.7E-01,
BIS(2-ETHYLHEXYL)PHTHALATE,3.0E+00,2.7E+01,3.0E+00,2.7E+01,3.0E+00,2.7E+01,
BORON,1.0E+03,3.4E+04,7.2E+03,3.4E+04,1.0E+03,3.4E+04,
BROMODICHLOROMETHANE,3.4E+02,3.1E+03,3.4E+02,3.1E+03,3.4E+02,3.1E+03,
BROMOFORM,2.3E+02,1.1E+03,2.3E+02,1.1E+03,3.2E+02,2.3E+03,
BROMOMETHANE,1.6E+01,3.8E+01,1.6E+01,3.8E+01,1.6E+01,3.8E+01,
CADMIUM,3.0E+00,3.0E+00,3.0E+00,3.0E+00,9.3E+00,4.3E+01,
CARBON TETRACHLORIDE,9.8E+00,1.2E+04,7.7E+01,1.2E+04,9.8E+00,1.6E+04,
CHLORDANE (TECHNICAL),4.0E-03,9.0E-02,4.3E-03,2.4E+00,4.0E-03,9.0E-02,
"CHLOROANILINE, p-",1.9E+01,4.6E+02,1.9E+01,4.6E+02,1.9E+01,4.6E+02,
CHLOROBENZENE,2.5E+01,2.2E+02,2.5E+01,2.2E+02,6.4E+01,1.1E+03,
CHLOROETHANE,2.1E+04,2.1E+04,2.1E+04,2.1E+04,2.1E+04,2.1E+04,
CHLOROFORM,2.8E+01,4.9E+02,1.4E+02,9.6E+03,2.8E+01,4.9E+02,
CHLOROMETHANE,1.9E+02,1.9E+02,1.9E+02,1.9E+02,1.9E+02,1.9E+02,
"CHLOROPHENOL, 2-",3.2E+01,4.0E+02,3.2E+01,1.4E+03,4.0E+02,4.0E+02,
CHROMIUM (Total),1.1E+01,1.6E+01,1.1E+01,1.6E+01,5.0E+01,1.0E+03,
CHROMIUM III,2.0E+01,5.7E+02,7.4E+01,5.7E+02,2.0E+01,5.7E+02,
CHROMIUM VI,1.1E+01,1.6E+01,1.1E+01,1.6E+01,5.0E+01,1.1E+03,
CHRYSENE,2.0E+00,3.0E+02,4.7E+00,3.0E+02,2.0E+00,3.0E+02,
COBALT,1.9E+01,1.2E+02,1.9E+01,1.2E+02,2.3E+01,1.5E+03,
COPPER,2.9E+00,2.9E+00,6.0E+00,6.0E+00,2.9E+00,2.9E+00,
CYANIDE (Free),1.0E+00,1.0E+00,5.2E+00,2.2E+01,1.0E+00,1.0E+00,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.9E+01,5.2E+02,7.9E+01,5.2E+02,1.9E+02,7.0E+02,
DALAPON,3.0E+02,3.0E+03,3.0E+02,3.0E+03,3.0E+02,3.0E+03,
"DIBENZO(a,h)ANTHTRACENE",8.0E-01,3.0E+02,8.0E-01,3.0E+02,7.1E+00,3.0E+02,
"DIBROMO-3-CHLOROPROPANE, 1,2-",4.0E-02,4.0E-02,4.0E-02,4.0E-02,4.0E-02,4.0E-02,
DIBROMOCHLOROMETHANE,3.4E+01,2.9E+03,3.2E+02,2.9E+03,3.4E+01,2.9E+03,
"DIBROMOETHANE, 1,2-",1.4E+03,1.4E+03,1.4E+03,1.4E+03,1.4E+03,1.4E+03,
