TABLE D-4b. SUMMARY OF SELECTED CHRONIC AQUATIC HABITAT GOALS,,,,,,
,,,,,,
,1Aquatic Habitat Goals,,,,,
CHEMICAL PARAMETER,"1Estuarine
Aquatic Habitat Goal
(ug/L)",Basis,"Lowest Freshwater
Aquatic Habitat Goal
(ug/L)",Basis,"Lowest
Marine
Aquatic Habitat Goal
(ug/L)",Basis
ACENAPHTHENE,1.5E+01,USEPA Chronic FW,1.5E+01,USEPA Chronic FW,2.0E+01,USEPA Chronic SW
ACENAPHTHYLENE,1.3E+01,USEPA Chronic FW,1.3E+01,USEPA Chronic FW,3.1E+02,USEPA Chronic SW
ACETONE,1.5E+03,USEPA Chronic SW,1.7E+03,USEPA Chronic FW,1.5E+03,USEPA Chronic SW
ALDRIN,1.4E-04,USEPA Chronic SW,3.5E-02,USEPA Chronic FW,1.4E-04,USEPA Chronic SW
AMETRYN,7.0E+02,USEPA Off Pesticides (FW),7.0E+02,USEPA Off Pesticides,7.0E+02,USEPA Off Pesticides (FW)
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,USEPA Chronic FW,1.8E+01,USEPA Chronic FW,2.0E+01,USEPA Chronic SW
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,USEPA Reg IV (FW),1.1E+01,USEPA Chronic FW,1.1E+01,USEPA Reg IV (FW)
ANTHRACENE,2.0E-02,USEPA Chronic FW,2.0E-02,USEPA Chronic FW,7.3E-01,USEPA Chronic SW
ANTIMONY,3.0E+01,USEPA Chronic SW,1.3E+02,USEPA Chronic FW,3.0E+01,USEPA Chronic SW
ARSENIC,3.6E+01,Hawaii Chronic SW WQS,1.9E+02,Hawaii Chronic FW WQS,3.6E+01,Hawaii Chronic SW WQS
ATRAZINE,1.2E+01,USEPA Reg IV (FW),1.2E+01,USEPA Chronic FW,1.2E+01,USEPA Reg IV (FW)
BARIUM,2.2E+02,USEPA Chronic SW,2.2E+02,USEPA Chronic FW,2.2E+02,USEPA Chronic SW
BENOMYL,1.4E-01,5% USGS 2012 FW acute,1.4E-01,5% USGS 2012 acute,1.4E-01,5% USGS 2012 FW acute
BENZENE,7.1E+01,USEPA Chronic SW,1.6E+02,USEPA Chronic FW,7.1E+01,USEPA Chronic SW
BENZO(a)ANTHRACENE,2.7E-02,USEPA Chronic SW,4.7E+00,USEPA Chronic FW,2.7E-02,USEPA Chronic SW
BENZO(a)PYRENE,6.0E-02,USEPA Chronic FW,6.0E-02,USEPA Chronic FW,3.0E-01,USEPA Chronic SW
BENZO(b)FLUORANTHENE,6.8E-01,USEPA Chronic SW,2.6E+00,USEPA Chronic FW,6.8E-01,USEPA Chronic SW
