"TABLE D-4d. SUMMARY OF HAWAI'I CHRONIC AND ACUTE
SURFACE WATER (AQUATIC HABITAT) STANDARDS",,,,,
,,,,,
,"Freshwater
(ug/L)",,"Saltwater
(ug/L)",,
CONTAMINANT,Chronic,Acute,Chronic,Acute,
ACENAPHTHENE,,5.7E+02,,3.2E+02,
ACENAPHTHYLENE,,,,,
ACETONE,,,,,
ALDRIN,,3.0E+00,,1.3E+00,
AMETRYN,,,,,
"AMINO,2- DINITROTOLUENE,4,6-",,,,,
"AMINO,4- DINITROTOLUENE,2,6-",,,,,
ANTHRACENE,,,,,
ANTIMONY,,3.0E+03,,,
ARSENIC,1.9E+02,3.6E+02,3.6E+01,6.9E+01,
ATRAZINE,,,,,
BARIUM,,,,,
BENOMYL,,,,,
BENZENE,,1.8E+03,,1.7E+03,
BENZO(a)ANTHRACENE,,,,,
BENZO(a)PYRENE,,,,,
BENZO(b)FLUORANTHENE,,,,,
"BENZO(g,h,i)PERYLENE",,,,,
BENZO(k)FLUORANTHENE,,,,,
BERYLLIUM,,4.3E+01,,,
"BIPHENYL, 1,1-",,,,,
BIS(2-CHLOROETHYL)ETHER,,,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,,,,,
BORON,,,,,
BROMODICHLOROMETHANE,,,,,
BROMOFORM,,,,,
BROMOMETHANE,,,,,
CADMIUM,3.0E+00,3.0E+00,9.3E+00,4.3E+01,
CARBON TETRACHLORIDE,,1.2E+04,,1.6E+04,
CHLORDANE (TECHNICAL),4.3E-03,2.4E+00,4.0E-03,9.0E-02,
"CHLOROANILINE, p-",,,,,
CHLOROBENZENE,,,,,
CHLOROETHANE,,,,,
CHLOROFORM,,9.6E+03,,,
CHLOROMETHANE,,,,,
"CHLOROPHENOL, 2-",,1.4E+03,,,
CHROMIUM (Total),,,,,
CHROMIUM III,,,,,
CHROMIUM VI,1.1E+01,1.6E+01,5.0E+01,1.1E+03,
CHRYSENE,,,,,
COBALT,,,,,
COPPER,6.0E+00,6.0E+00,2.9E+00,2.9E+00,
CYANIDE (Free),5.2E+00,2.2E+01,1.0E+00,1.0E+00,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",,,,,
DALAPON,,,,,
"DIBENZO(a,h)ANTHTRACENE",,,,,
"DIBROMO-3-CHLOROPROPANE, 1,2-",,,,,
DIBROMOCHLOROMETHANE,,,,,
"DIBROMOETHANE, 1,2-",,,,,
"DICHLOROBENZENE, 1,2-",,3.7E+02,,6.6E+02,
"DICHLOROBENZENE, 1,3-",,3.7E+02,,6.6E+02,
"DICHLOROBENZENE, 1,4-",,3.7E+02,,6.6E+02,
"DICHLOROBENZIDINE, 3,3-",,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.0E-03,1.1E+00,1.0E-03,1.3E-02,
"DICHLOROETHANE, 1,1-",,,,,
"DICHLOROETHANE, 1,2-",,3.9E+04,,3.8E+04,
"DICHLOROETHYLENE, 1,1-",,3.9E+03,,7.5E+04,
"DICHLOROETHYLENE, Cis 1,2-",,,,,
"DICHLOROETHYLENE, Trans 1,2-",,,,,
"DICHLOROPHENOL, 2,4-",,6.7E+02,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",,,,,
"DICHLOROPROPANE, 1,2-",,7.7E+03,,3.4E+03,
"DICHLOROPROPENE, 1,3-",,2.0E+03,,2.6E+02,
DIELDRIN,1.9E-03,2.5E+00,1.9E-03,7.1E-01,
DIETHYLPHTHALATE,,,,,
"DIMETHYLPHENOL, 2,4-",,7.0E+02,,,
DIMETHYLPHTHALATE,,,,,
"DINITROBENZENE, 1,3-",,,,,
"DINITROPHENOL, 2,4-",,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",,1.1E+02,,2.0E+02,
"DINITROTOLUENE, 2,6- (2,6-DNT)",,1.1E+02,,2.0E+02,
"DIOXANE, 1,4-",,,,,
DIOXINS (TEQ),,3.0E-03,,,
DIURON,,,,,
ENDOSULFAN,5.6E-02,2.2E-01,8.7E-03,3.4E-02,
ENDRIN,2.3E-03,1.8E-01,2.3E-03,3.7E-02,
ETHANOL,,,,,
ETHYLBENZENE,,1.1E+04,,1.4E+02,
FLUORANTHENE,,1.3E+03,,1.3E+01,
FLUORENE,,,,,
GLYPHOSATE,,,,,
HEPTACHLOR,3.8E-03,5.2E-01,3.6E-03,5.3E-02,
HEPTACHLOR EPOXIDE,,,,,
HEXACHLOROBENZENE,,,,,
HEXACHLOROBUTADIENE,,3.0E+01,,1.1E+01,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,8.0E-02,2.0E+00,,1.6E-01,
HEXACHLOROETHANE,,3.3E+02,,3.1E+02,
HEXAZINONE,,,,,
"INDENO(1,2,3-cd)PYRENE",,,,,
ISOPHORONE,,3.9E+04,,4.3E+03,
LEAD,2.9E+01,2.9E+01,5.6E+00,1.4E+02,
MERCURY,5.5E-01,2.4E+00,2.5E-02,2.1E+00,
METHOXYCHLOR,3.0E-02,,3.0E-02,,
METHYL ETHYL KETONE,,,,,
METHYL ISOBUTYL KETONE,,,,,
METHYL MERCURY,,,,,
METHYL TERT BUTYL ETHER,,,,,
METHYLENE CHLORIDE,,,,,
