"TABLE D-4f. SURFACE WATER QUALITY STANDARDS FOR BIOACCUMULATION
AND HUMAN CONSUMPTION OF AQUATIC ORGANISMS",,,,,,,,
(ug/l),,,,,,,,
,,,,,,,,
CONTAMINANT,Selected Criteria,Basis,1HI DOH WQS,2USEPA NWQC,,,,
ACENAPHTHENE,9.9E+02,USEPA Aquatic Organism Consumption,,9.9E+02,,,,
ACENAPHTHYLENE,,,,,,,,
ACETONE,,,,,,,,
ALDRIN,2.6E-05,HI DOH Fish Consumption,2.6E-05,5.0E-05,,,,
AMETRYN,,,,,,,,
"AMINO,2- DINITROTOLUENE,4,6-",,,,,,,,
"AMINO,4- DINITROTOLUENE,2,6-",,,,,,,,
ANTHRACENE,4.0E+04,USEPA Aquatic Organism Consumption,,4.0E+04,,,,
ANTIMONY,1.5E+04,HI DOH Fish Consumption,1.5E+04,6.4E+02,,,,
ARSENIC,1.4E-01,USEPA Aquatic Organism Consumption,,1.4E-01,,,,
ATRAZINE,,,,,,,,
BARIUM,,,,,,,,
BENOMYL,,,,,,,,
BENZENE,1.3E+01,HI DOH Fish Consumption,1.3E+01,5.1E+01,,,,
BENZO(a)ANTHRACENE,1.8E-02,USEPA Aquatic Organism Consumption,,1.8E-02,,,,
BENZO(a)PYRENE,1.8E-02,USEPA Aquatic Organism Consumption,,1.8E-02,,,,
BENZO(b)FLUORANTHENE,1.8E-02,USEPA Aquatic Organism Consumption,,1.8E-02,,,,
"BENZO(g,h,i)PERYLENE",,,,,,,,
BENZO(k)FLUORANTHENE,1.8E-02,USEPA Aquatic Organism Consumption,,1.8E-02,,,,
BERYLLIUM,3.8E-02,HI DOH Fish Consumption,3.8E-02,,,,,
"BIPHENYL, 1,1-",,,,,,,,
BIS(2-CHLOROETHYL)ETHER,4.4E-01,HI DOH Fish Consumption,4.4E-01,5.3E-01,,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,1.4E+03,HI DOH Fish Consumption,1.4E+03,6.5E+04,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,2.2E+00,USEPA Aquatic Organism Consumption,,2.2E+00,,,,
BORON,,,,,,,,
BROMODICHLOROMETHANE,,,,,,,,
BROMOFORM,1.4E+02,USEPA Aquatic Organism Consumption,,1.4E+02,,,,
BROMOMETHANE,1.5E+03,USEPA Aquatic Organism Consumption,,1.5E+03,,,,
CADMIUM,,,,,,,,
CARBON TETRACHLORIDE,2.3E+00,HI DOH Fish Consumption,2.3E+00,1.6E+00,,,,
CHLORDANE (TECHNICAL),1.6E-05,HI DOH Fish Consumption,1.6E-05,8.1E-04,,,,
"CHLOROANILINE, p-",,,,,,,,
CHLOROBENZENE,2.1E+04,USEPA Aquatic Organism Consumption,,2.1E+04,,,,
CHLOROETHANE,,,,,,,,
CHLOROFORM,5.1E+00,HI DOH Fish Consumption,5.1E+00,4.7E+02,,,,
CHLOROMETHANE,,,,,,,,
"CHLOROPHENOL, 2-",1.5E+02,USEPA Aquatic Organism Consumption,,1.5E+02,,,,
CHROMIUM (Total),,,,,,,,
CHROMIUM III,,,,,,,,
CHROMIUM VI,,,,,,,,
CHRYSENE,1.8E-02,USEPA Aquatic Organism Consumption,,1.8E-02,,,,
COBALT,,,,,,,,
COPPER,,,,,,,,
CYANIDE (Free),2.2E+05,USEPA Aquatic Organism Consumption,,2.2E+05,,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",,,,,,,,
DALAPON,,,,,,,,
"DIBENZO(a,h)ANTHTRACENE",1.8E-02,USEPA Aquatic Organism Consumption,,1.8E-02,,,,
"DIBROMO-3-CHLOROPROPANE, 1,2-",,,,,,,,
DIBROMOCHLOROMETHANE,1.3E+01,USEPA Aquatic Organism Consumption,,1.3E+01,,,,
"DIBROMOETHANE, 1,2-",,,,,,,,
"DICHLOROBENZENE, 1,2-",8.5E+02,HI DOH Fish Consumption,8.5E+02,1.7E+04,,,,
"DICHLOROBENZENE, 1,3-",8.5E+02,HI DOH Fish Consumption,8.5E+02,9.6E+02,,,,
"DICHLOROBENZENE, 1,4-",8.5E+02,HI DOH Fish Consumption,8.5E+02,2.6E+03,,,,
"DICHLOROBENZIDINE, 3,3-",7.0E-03,HI DOH Fish Consumption,7.0E-03,2.8E-02,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),3.1E-04,USEPA Aquatic Organism Consumption,,3.1E-04,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),2.2E-04,USEPA Aquatic Organism Consumption,,2.2E-04,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),8.0E-06,HI DOH Fish Consumption,8.0E-06,2.2E-04,,,,
"DICHLOROETHANE, 1,1-",,,,,,,,
"DICHLOROETHANE, 1,2-",7.9E+01,HI DOH Fish Consumption,7.9E+01,3.7E+01,,,,
"DICHLOROETHYLENE, 1,1-",6.0E-01,HI DOH Fish Consumption,6.0E-01,3.2E+00,,,,
"DICHLOROETHYLENE, Cis 1,2-",,,,,,,,
