"TABLE F-2. GROSS CONTAMINATION ACTION LEVELS FOR 1EXPOSED OR POTENTIALLY EXPOSED SOIL
(mg/kg)",,,,,,,,,
,,,,,,,,,
CONTAMINANT,"2Final
Unrestricted Land Use
Action Level","Final
Industrial/
Commercial Land Use
Action Level","2Raw
Unrestricted
Action Level","Raw
Industrial/
Commercial
Action Level","Soil Saturation Limit
(mg/kg)","Vapor Pressure
(VP)
(Torr @ 20-30 oC)","50 Percentile
Odor Recognition
Threshold (ORT)
(ug/m3)","50 Percentile
Odor Recognition
Threshold (ORT)
(ppm-v)",Odor Index
ACENAPHTHENE,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,4.5E-03,5.13E+02,8.00E-02,5.63E-02
ACENAPHTHYLENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.9E-02,-,-,-
ACETONE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.1E+05,2.70E+02,3.09E+04,1.30E+01,2.08E+01
ALDRIN,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,2.3E-05,2.63E+02,1.70E-02,1.35E-03
AMETRYN,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.74E-06,-,-,-
"AMINO,2- DINITROTOLUENE,4,6-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.07E-04,-,-,-
"AMINO,4- DINITROTOLUENE,2,6-",5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.07E-04,-,-,-
ANTHRACENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,1.7E-05,-,-,-
ANTIMONY,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
ARSENIC,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
ATRAZINE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,NA,2.89E-07,-,-,-
BARIUM,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
BENOMYL,1.0E+03,2.5E+03,1.0E+03,2.5E+03,NA,-,-,-,-
BENZENE,5.0E+02,1.0E+03,5.0E+02,1.0E+03,1.9E+03,9.50E+01,4.89E+03,1.50E+00,6.33E+01
