"TABLE I-1. DIRECT-EXPOSURE ACTION LEVELS
1UNRESTRICTED LAND USE SCENARIO",,,,,,,,,,,
,,,,,,,,,,,
,Final,,2Carcinogens,2Mutagens,3Noncarcinogens,3Noncarcinogens,,,,,
,Action Level,,(Risk = 10-6),(Risk = 10-6),(Final),(HQ = 1.0),Saturation,,,,
CHEMICAL,(mg/kg),Basis,(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),,,,
ACENAPHTHENE,6.6E+02,noncarcinogenic effects,,,6.6E+02,3.3E+03,NA,,,,
ACENAPHTHYLENE,3.4E+02,noncarcinogenic effects,,,3.4E+02,1.7E+03,NA,,,,
ACETONE,1.2E+04,noncarcinogenic effects,,,1.2E+04,6.1E+04,1.1E+05,,,,
ALDRIN,3.9E+00,noncarcinogenic effects,2.0E+01,,3.9E+00,7.7E+00,NA,,,,
AMETRYN,1.1E+02,noncarcinogenic effects,,,1.1E+02,5.7E+02,NA,,,,
"AMINO,2- DINITROTOLUENE,4,6-",3.1E+01,noncarcinogenic effects,,,3.1E+01,1.5E+02,NA,,,,
"AMINO,4- DINITROTOLUENE,2,6-",3.1E+01,noncarcinogenic effects,,,3.1E+01,1.5E+02,NA,,,,
ANTHRACENE,3.5E+03,noncarcinogenic effects,,,3.5E+03,1.7E+04,NA,,,,
ANTIMONY,6.3E+00,noncarcinogenic effects,,,6.3E+00,3.1E+01,NA,,,,
ARSENIC,2.3E+01,HDOH 2010,2.3E+01,,2.2E+01,2.2E+01,NA,,,,
ATRAZINE,2.4E+00,carcinogenic effects,2.4E+00,,4.4E+02,2.2E+03,NA,,,,
BARIUM,3.1E+03,noncarcinogenic effects,,,3.1E+03,1.5E+04,NA,,,,
BENOMYL,6.3E+02,noncarcinogenic effects,,,6.3E+02,3.2E+03,NA,,,,
BENZENE,1.2E+00,carcinogenic effects,1.2E+00,,1.7E+01,8.7E+01,1.9E+03,,,,
BENZO(a)ANTHRACENE,1.6E+01,mutagenic effects,6.9E+01,1.6E+01,,,NA,,,,
BENZO(a)PYRENE,1.6E+00,mutagenic effects,7.0E+00,1.6E+00,,,NA,,,,
BENZO(b)FLUORANTHENE,1.6E+01,mutagenic effects,7.0E+01,1.6E+01,,,NA,,,,
"BENZO(g,h,i)PERYLENE",4.8E+02,noncarcinogenic effects,,,4.8E+02,2.4E+03,NA,,,,
BENZO(k)FLUORANTHENE,1.6E+02,mutagenic effects,7.0E+02,1.6E+02,,,NA,,,,
BERYLLIUM,3.1E+01,noncarcinogenic effects,1.6E+03,,3.1E+01,1.6E+02,NA,,,,
"BIPHENYL, 1,1-",1.0E+01,noncarcinogenic effects,5.8E+01,,1.0E+01,5.1E+01,NA,,,,
BIS(2-CHLOROETHYL)ETHER,2.4E-01,carcinogenic effects,2.4E-01,,,,5.0E+03,,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.8E+00,carcinogenic effects,3.8E+00,,3.1E+02,1.6E+03,7.9E+02,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,3.9E+01,carcinogenic effects,3.9E+01,,2.5E+02,1.3E+03,NA,,,,
BORON,3.1E+03,noncarcinogenic effects,,,3.1E+03,1.6E+04,NA,,,,
BROMODICHLOROMETHANE,3.2E-01,carcinogenic effects,3.2E-01,,5.8E+01,2.9E+02,9.3E+02,,,,
BROMOFORM,2.0E+01,carcinogenic effects,2.0E+01,,3.1E+02,1.6E+03,NA,,,,
BROMOMETHANE,1.5E+00,noncarcinogenic effects,,,1.5E+00,7.4E+00,3.6E+03,,,,
CADMIUM,1.4E+01,noncarcinogenic effects,2.1E+03,,1.4E+01,7.1E+01,NA,,,,
CARBON TETRACHLORIDE,7.1E-01,carcinogenic effects,7.1E-01,,2.2E+01,1.1E+02,4.5E+02,,,,
CHLORDANE (TECHNICAL),1.7E+01,carcinogenic effects,1.7E+01,,3.5E+01,3.5E+01,NA,,,,
"CHLOROANILINE, p-",2.7E+00,carcinogenic effects,2.7E+00,,5.1E+01,2.5E+02,NA,,,,
CHLOROBENZENE,5.9E+01,noncarcinogenic effects,,,5.9E+01,2.9E+02,7.6E+02,,,,
CHLOROETHANE,2.1E+03,saturation limit,,,3.0E+03,1.5E+04,2.1E+03,,,,
CHLOROFORM,3.4E-01,carcinogenic effects,3.4E-01,,4.2E+01,2.1E+02,2.5E+03,,,,
CHLOROMETHANE,2.4E+01,noncarcinogenic effects,,,2.4E+01,1.2E+02,1.3E+03,,,,
"CHLOROPHENOL, 2-",7.0E+01,noncarcinogenic effects,,,7.0E+01,3.5E+02,2.7E+04,,,,
CHROMIUM (Total),,not available,,,,,,,,,
CHROMIUM III,2.3E+04,noncarcinogenic effects,,,2.3E+04,1.2E+05,NA,,,,
CHROMIUM VI,3.0E+01,mutagenic effects,1.3E+02,3.0E+01,4.7E+01,2.3E+02,NA,,,,
CHRYSENE,1.6E+03,mutagenic effects,7.0E+03,1.6E+03,,,NA,,,,
COBALT,4.7E+00,noncarcinogenic effects,4.2E+02,,4.7E+00,2.3E+01,NA,,,,
COPPER,6.3E+02,noncarcinogenic effects,,,6.3E+02,3.1E+03,NA,,,,
CYANIDE (Free),4.8E+00,noncarcinogenic effects,,,4.8E+00,2.4E+01,NA,,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",6.1E+00,carcinogenic effects,6.1E+00,,4.5E+01,2.3E+02,NA,,,,
DALAPON,3.8E+02,noncarcinogenic effects,,,3.8E+02,1.9E+03,NA,,,,
"DIBENZO(a,h)ANTHTRACENE",1.6E+00,mutagenic effects,7.0E+00,1.6E+00,,,NA,,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",5.7E-03,mutagenic effects,1.6E-02,5.7E-03,9.9E-01,5.0E+00,9.8E+02,,,,
DIBROMOCHLOROMETHANE,1.0E+00,carcinogenic effects,1.0E+00,,9.8E+01,4.9E+02,NA,,,,
"DIBROMOETHANE, 1,2-",3.9E-02,carcinogenic effects,3.9E-02,,1.6E+01,7.8E+01,NA,,,,
"DICHLOROBENZENE, 1,2-",3.8E+02,saturation limit,,,3.9E+02,1.9E+03,3.8E+02,,,,
"DICHLOROBENZENE, 1,3-",2.0E+02,noncarcinogenic effects,,,2.0E+02,1.0E+03,6.0E+02,,,,
