"TABLE I-2. DIRECT-EXPOSURE ACTION LEVELS
COMMERCIAL/INDUSTRIAL  LAND USE SCENARIO",,,,,,,,,,
,,,,,,,,,,
,Final,,1Carcinogens,2Noncarcinogens,2Noncarcinogens,,,,,
,Action Level,,(Risk = 10-6),(Final),(HQ = 1.0),Saturation,,,,
CHEMICAL,(mg/kg),Basis,(mg/kg),(mg/kg),(mg/kg),(mg/kg),,,,
ACENAPHTHENE,7.1E+03,noncarcinogenic effects,,7.1E+03,3.5E+04,NA,,,,
ACENAPHTHYLENE,2.7E+03,noncarcinogenic effects,,2.7E+03,1.4E+04,NA,,,,
ACETONE,1.1E+05,saturation limit,,1.4E+05,6.9E+05,1.1E+05,,,,
ALDRIN,5.6E+01,noncarcinogenic effects,9.3E+01,5.6E+01,1.1E+02,NA,,,,
AMETRYN,1.5E+03,noncarcinogenic effects,,1.5E+03,7.4E+03,NA,,,,
"AMINO,2- DINITROTOLUENE,4,6-",4.6E+02,noncarcinogenic effects,,4.6E+02,2.3E+03,NA,,,,
"AMINO,4- DINITROTOLUENE,2,6-",4.5E+02,noncarcinogenic effects,,4.5E+02,2.3E+03,NA,,,,
ANTHRACENE,4.2E+04,noncarcinogenic effects,,4.2E+04,2.1E+05,NA,,,,
ANTIMONY,9.3E+01,noncarcinogenic effects,,9.3E+01,4.7E+02,NA,,,,
ARSENIC,9.5E+01,HDOH 2010,1.1E+02,3.1E+02,3.1E+02,NA,,,,
ATRAZINE,1.0E+01,carcinogenic effects,1.0E+01,5.7E+03,2.9E+04,NA,,,,
BARIUM,4.3E+03,trench/construction worker,,4.3E+04,2.2E+05,NA,,,,
BENOMYL,8.2E+03,noncarcinogenic effects,,8.2E+03,4.1E+04,NA,,,,
BENZENE,5.5E+00,carcinogenic effects,5.5E+00,9.1E+01,4.6E+02,1.9E+03,,,,
BENZO(a)ANTHRACENE,2.9E+01,carcinogenic effects,2.9E+01,,,NA,,,,
