"TABLE J. TARGET ORGANS AND CHRONIC HEALTH EFFECTS
(For general reference only.  May not be adequately comprehensive for some chemicals.
Some noted effects may be insignificant.  Refer to original documents for additional information.)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CHEMICAL PARAMETER,Target Organs And Health Effects,,,,,,,,,,,,,,,
,aCarcinogen,bMutagen,cAlimentary Tract,Cardiovascular,Developmental,Endocrine,Eye,Hematologic,Immune,Kidney,Nervous,Reproductive,Respiratory,dSkin,Other,
ACENAPHTHENE,D,,"4,5",,,,,,3,,,,,3,,
ACENAPHTHYLENE,D,,,,,,,"4,5",3,,,,,3,= Fluorene,
ACETONE,D,,"4,5",,,,,2,,"4,5",,,,,,
ALDRIN,B2,,5,,,,,,,,2,,,,,
AMETRYN,D,,5,,,,,,,,,,,,,
"AMINO,2- DINITROTOLUENE,4,6-",D,,"2,6",,,,"2,3","2,6",,,,6,,"2,3","No data, TNT data shown",
"AMINO,4- DINITROTOLUENE,2,6-",D,,"2,6",,,,"2,3","2,6",,,,6,,"2,3","No data, TNT data shown",
ANTHRACENE,D,,,,,,,,3,,,,,3,,
ANTIMONY,D,,,3,,,"2,3","4,6",,,,3,"1,2,3",,,
ARSENIC,A,,"2,3,5","1,3","1,2,3",,,"2,3,5",,,"1,2,3",,,"1,2,3,5",,
ATRAZINE,C,,2,"5,7","3,4,5",,,,,2,,7,,2,,
BARIUM,D,,,3,,,,4,,5,,4,,,,
BENOMYL,C,,,,5,,,,,,,,,,,
BENZENE,A,,2,,"1,3",,,"1,2,3",2,,1,,,,,
BENZO(a)ANTHRACENE,B2,M,,,,,,,3,,,,,3,No chronic toxicity factors.,
BENZO(a)PYRENE,B2,M,,,,,,,3,,,2,,3,No chronic toxicity factors.,
BENZO(b)FLUORANTHENE,B2,M,,,,,,,3,,,,,3,No chronic toxicity factors.,
"BENZO(g,h,i)PERYLENE",D,,"4,5",,,,,"4,5",3,"4,5",,,,3,= Fluoranthene,
BENZO(k)FLUORANTHENE,B2,M,,,,,,,3,,,,,3,No chronic toxicity factors.,
BERYLLIUM,B1,,"1,5",,,,,,1,,,,"1,2,3,5",2,,
"BIPHENYL, 1,1-",D,,2,,,,,,,5,2,,,,,
BIS(2-CHLOROETHYL)ETHER,B2,,,,,,,,,,3,3,,,No chronic toxicity factors.,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,B2,,,,,,,5,,,,,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,?,,"6,7",,,,,,,,,7,,,No chronic toxicity factors.,
BORON,D,,,,,,,,,,,"3,5",4,,,
BROMODICHLOROMETHANE,B2,,3,,,,,,,"3,5",,,,,,
BROMOFORM,B2,,"2,3,5",,,,,,,3,"2,3",,,,,
BROMOMETHANE,D,,"1,2,4,5",2,,,1,,,"1,2,3","2,3",,"2,3,4,5",,,
CADMIUM,B1/D,,,,,,,,,"1,2,3,4,5",,,"1,2,3",,"bone loss (1,3)",
CARBON TETRACHLORIDE,B2,,"1,3,5",,1,,,,,3,1,,,,,
CHLORDANE (TECHNICAL),B2,,"2,3,5",,,,,,"2,4",,3,,,,,
"CHLOROANILINE, p-",?,,"2,5",,,,,,4,2,,,,2,,
CHLOROBENZENE,D,,"1,2,4,5",,,,,2,,"1,2,3,4",2,1,,,,
CHLOROETHANE,B,,1,,"1,3",,,,,,,,,,,
CHLOROFORM,B2,,"1,2,3,5",,1,,,,,"1,2,3",,,,,,
CHLOROMETHANE,C/D,,,,3,,,,,,2,"2,3",,,,
"CHLOROPHENOL, 2-",D,,"1,3",,1,,,,,,,"1,4,5",,,,
CHROMIUM (Total),-,,,,,,,,,,,,,,,
CHROMIUM III,D,,,,,,,1,,,,,1,2,,
CHROMIUM VI,A,M,,,,,,1,,,,1,"1,5",,,
CHRYSENE,B2,M,,,,,,,3,,,,,3,No chronic toxicity factors.,
COBALT,?,,,2,,,,,,,,,2,2,hearing (2),
COPPER,D,,7,,,,,,,,,,"1,3",2,,
CYANIDE (Free),D,,,"1,3",,"1,3,5",,3,,,"1,4,5",,3,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",C,,3,,3,,,,,3,,,,,,
DALAPON,D,,,,,,,,,"2,5,7",,,,,,
"DIBENZO(a,h)ANTHTRACENE",B2,M,,,,,,,3,,,,,"2,3",,
"DIBROMO-3-CHLOROPROPANE, 1,2-",B2,M,1,,1,,,,,2,,"1,2,3,4,5",1,,,
DIBROMOCHLOROMETHANE,C,,5,,,,,,,,,,,,,
"DIBROMOETHANE, 1,2-",B2,,,,3,,,,,,,3,"1,2",,,
"DICHLOROBENZENE, 1,2-",D,,2,,,,,,,2,,,,2,,
"DICHLOROBENZENE, 1,3-",D,,2,,,,,,,2,,,,,,
"DICHLOROBENZENE, 1,4-",C,,"1,2,5",,,,,2,,"1,2","1,",5,1,,,
"DICHLOROBENZIDINE, 3,3-",B2,,2,,,,,,,,,,,,No chronic toxicity factors.,
DICHLORODIPHENYLDICHLOROETHANE (DDD),B2,,,,,,,,,,,,,,No chronic toxicity factors.,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),B2,,,,,,,,,,,,,,No chronic toxicity factors.,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),B2,,"2,3,5",,,,,,,,2,2,,,,
"DICHLOROETHANE, 1,1-",C,,2,,,,,,,"2,3,4,6",,,,,,
"DICHLOROETHANE, 1,2-",B2,,"1,",,,,,,,,,,,,,
