"TABLE L. SOIL ECOTOXICITY ACTION LEVELS
(Discontinued as of Fall 2011 due to low confidence in use of published
action levels in Hawai'i.  See text Section 3.5.)",,,,,
,,,,,
,Urban Area Ecotoxicity Criteria (mg/kg),,,,
CHEMICAL PARAMETER,Residential Areas,"Commercial/
Industrial areas",,,
ACENAPHTHENE,site-specific,site-specific,,,
ACENAPHTHYLENE,site-specific,site-specific,,,
ACETONE,site-specific,site-specific,,,
ALDRIN,site-specific,site-specific,,,
AMETRYN,site-specific,site-specific,,,
"AMINO,2- DINITROTOLUENE,4,6-",site-specific,site-specific,,,
"AMINO,4- DINITROTOLUENE,2,6-",site-specific,site-specific,,,
ANTHRACENE,site-specific,site-specific,,,
ANTIMONY,site-specific,site-specific,,,
ARSENIC,site-specific,site-specific,,,
ATRAZINE,site-specific,site-specific,,,
BARIUM,site-specific,site-specific,,,
BENOMYL,site-specific,site-specific,,,
BENZENE,site-specific,site-specific,,,
BENZO(a)ANTHRACENE,site-specific,site-specific,,,
BENZO(a)PYRENE,site-specific,site-specific,,,
BENZO(b)FLUORANTHENE,site-specific,site-specific,,,
"BENZO(g,h,i)PERYLENE",site-specific,site-specific,,,
BENZO(k)FLUORANTHENE,site-specific,site-specific,,,
BERYLLIUM,site-specific,site-specific,,,
"BIPHENYL, 1,1-",site-specific,site-specific,,,
BIS(2-CHLOROETHYL)ETHER,site-specific,site-specific,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,site-specific,site-specific,,,
BIS(2-ETHYLHEXYL)PHTHALATE,site-specific,site-specific,,,
BORON,site-specific,site-specific,,,
BROMODICHLOROMETHANE,site-specific,site-specific,,,
BROMOFORM,site-specific,site-specific,,,
BROMOMETHANE,site-specific,site-specific,,,
CADMIUM,site-specific,site-specific,,,
CARBON TETRACHLORIDE,site-specific,site-specific,,,
CHLORDANE (TECHNICAL),site-specific,site-specific,,,
"CHLOROANILINE, p-",site-specific,site-specific,,,
CHLOROBENZENE,site-specific,site-specific,,,
CHLOROETHANE,site-specific,site-specific,,,
CHLOROFORM,site-specific,site-specific,,,
CHLOROMETHANE,site-specific,site-specific,,,
"CHLOROPHENOL, 2-",site-specific,site-specific,,,
CHROMIUM (Total),site-specific,site-specific,,,
CHROMIUM III,site-specific,site-specific,,,
CHROMIUM VI,site-specific,site-specific,,,
CHRYSENE,site-specific,site-specific,,,
COBALT,site-specific,site-specific,,,
COPPER,site-specific,site-specific,,,
CYANIDE (Free),site-specific,site-specific,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",site-specific,site-specific,,,
DALAPON,site-specific,site-specific,,,
"DIBENZO(a,h)ANTHTRACENE",site-specific,site-specific,,,
"DIBROMO,1,2- CHLOROPROPANE,3-",site-specific,site-specific,,,
DIBROMOCHLOROMETHANE,site-specific,site-specific,,,
"DIBROMOETHANE, 1,2-",site-specific,site-specific,,,
"DICHLOROBENZENE, 1,2-",site-specific,site-specific,,,
"DICHLOROBENZENE, 1,3-",site-specific,site-specific,,,
"DICHLOROBENZENE, 1,4-",site-specific,site-specific,,,
"DICHLOROBENZIDINE, 3,3-",site-specific,site-specific,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),site-specific,site-specific,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),site-specific,site-specific,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),site-specific,site-specific,,,
"DICHLOROETHANE, 1,1-",site-specific,site-specific,,,
"DICHLOROETHANE, 1,2-",site-specific,site-specific,,,
"DICHLOROETHYLENE, 1,1-",site-specific,site-specific,,,
"DICHLOROETHYLENE, Cis 1,2-",site-specific,site-specific,,,
"DICHLOROETHYLENE, Trans 1,2-",site-specific,site-specific,,,
"DICHLOROPHENOL, 2,4-",site-specific,site-specific,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",site-specific,site-specific,,,
"DICHLOROPROPANE, 1,2-",site-specific,site-specific,,,
"DICHLOROPROPENE, 1,3-",site-specific,site-specific,,,
DIELDRIN,site-specific,site-specific,,,
DIETHYLPHTHALATE,site-specific,site-specific,,,
"DIMETHYLPHENOL, 2,4-",site-specific,site-specific,,,
DIMETHYLPHTHALATE,site-specific,site-specific,,,
"DINITROBENZENE, 1,3-",site-specific,site-specific,,,
"DINITROPHENOL, 2,4-",site-specific,site-specific,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",site-specific,site-specific,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",site-specific,site-specific,,,
"DIOXANE, 1,4-",site-specific,site-specific,,,
DIOXINS (TEQ),site-specific,site-specific,,,
DIURON,site-specific,site-specific,,,
ENDOSULFAN,site-specific,site-specific,,,
ENDRIN,site-specific,site-specific,,,
ETHANOL,site-specific,site-specific,,,
ETHYLBENZENE,site-specific,site-specific,,,
FLUORANTHENE,site-specific,site-specific,,,
FLUORENE,site-specific,site-specific,,,
GLYPHOSATE,site-specific,site-specific,,,
HEPTACHLOR,site-specific,site-specific,,,
HEPTACHLOR EPOXIDE,site-specific,site-specific,,,
HEXACHLOROBENZENE,site-specific,site-specific,,,
HEXACHLOROBUTADIENE,site-specific,site-specific,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,site-specific,site-specific,,,
HEXACHLOROETHANE,site-specific,site-specific,,,
HEXAZINONE,site-specific,site-specific,,,
"INDENO(1,2,3-cd)PYRENE",site-specific,site-specific,,,
ISOPHORONE,site-specific,site-specific,,,
LEAD,site-specific,site-specific,,,
MERCURY,site-specific,site-specific,,,
METHOXYCHLOR,site-specific,site-specific,,,
METHYL ETHYL KETONE,site-specific,site-specific,,,
METHYL ISOBUTYL KETONE,site-specific,site-specific,,,
METHYL MERCURY,site-specific,site-specific,,,
