,,"Target Cancer Risk
(Residential)","Target Cancer Risk
(C/I)","Target Cancer Risk
(Const. Workers)",,,,,,,
,Cell highlighted YELLOW if chemical-specific (vs generic) notes in Column Y.,,,,Target Hard Quotient (all),,,,,,
,,,,,,,,Persistent?,,,
CAS #,Chemical Name,,,,,Metal?,Volatile?,,Modeled Koc,Code,Notes:
83-32-9,ACENAPHTHENE,,,,0.2,N,V,N,5027.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
208-96-8,ACENAPHTHYLENE,,,,0.2,N,V,N,2500.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
67-64-1,ACETONE,,,,0.2,N,V,N,2.40,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
309-00-2,ALDRIN,0.0001,0.0001,0.0001,0.5,N,NV,Y,82020.00,5,Used as termiticide; dieldrin is a breakdown product.  Soil Direct Exposure action level based on noncancer HQ of 0.5.  Evaluate cumulative risk if contaminants other than dieldrin present. Run SPLP batch test if soil leaching action level exceeded.
834-12-8,AMETRYN,,,,0.2,N,NV,Y,428.20,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
35572-78-2,"AMINO,2- DINITROTOLUENE,4,6-",,,,0.2,N,NV,Y,283.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
19406-51-0,"AMINO,4- DINITROTOLUENE,2,6-",,,,0.2,N,NV,Y,283.00,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
120-12-7,ANTHRACENE,,,,0.2,N,V,N,16360.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
7440-36-0,ANTIMONY,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
7440-38-2,ARSENIC,0.0001,0.0001,0.0001,1.0,Y,NV,Y, ,2,"Naturally occurring metal.  Test for bioaccessible arsenic if total arsenic in <2mm soil fraction exceeds 24 mg/kg.  Refer to Tier 2 Screening Levels for bioaccessible arsenic in Volume 1, Chapter 4 of the EHE document for additional guidance (HDOH 2016)."
1912-24-9,ATRAZINE,0.000001,0.000001,0.00001,0.2,N,NV,Y,224.50,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
7440-39-3,BARIUM,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
17804-35-2,BENOMYL,,,,0.2,Y,NV,Y,336.20,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
71-43-2,BENZENE,0.000001,0.000001,0.000001,0.2,N,V,N,150.00,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
56-55-3,BENZO(a)ANTHRACENE,0.0001,0.00001,0.00001,0.2,N,NV,Y,176900.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
50-32-8,BENZO(a)PYRENE,0.0001,0.00001,0.00001,0.2,N,NV,Y,587400.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
205-99-2,BENZO(b)FLUORANTHENE,0.0001,0.00001,0.00001,0.2,N,NV,Y,599400.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
191-24-2,"BENZO(g,h,i)PERYLENE",,,,0.2,N,NV,Y,1600000.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
207-08-9,BENZO(k)FLUORANTHENE,0.0001,0.00001,0.00001,0.2,N,NV,Y,587400.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
7440-41-7,BERYLLIUM,0.000001,0.000001,0.00001,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
92-52-4,"BIPHENYL, 1,1-",0.000001,0.000001,0.000001,0.2,N,V,N,5129.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
111-44-4,BIS(2-CHLOROETHYL)ETHER,0.000001,0.000001,0.000001,0.2,N,V,Y,32.21,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
39638-32-9,BIS(2-CHLORO-1-METHYLETHYL)ETHER,0.000001,0.000001,0.000001,0.2,N,V,Y,61.00,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
117-81-7,BIS(2-ETHYLHEXYL)PHTHALATE,0.000001,0.000001,0.00001,0.2,N,NV,Y,119600.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
7440-42-8,BORON,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
75-27-4,BROMODICHLOROMETHANE,0.000001,0.000001,0.000001,0.2,N,V,Y,31.82,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
75-25-2,BROMOFORM,0.000001,0.000001,0.00001,0.2,N,NV,Y,31.82,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
74-83-9,BROMOMETHANE,,,,0.2,N,V,Y,13.22,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
7440-43-9,CADMIUM,0.000001,0.000001,0.00001,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
56-23-5,CARBON TETRACHLORIDE,0.000001,0.000001,0.000001,0.2,N,V,Y,43.89,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
12789-03-6,CHLORDANE (TECHNICAL),0.00001,0.00001,0.00001,1.0,N,NV,Y,67540.00,5,"Request lab to report Technical Chlordane rather than individual chemicals (primarily chlordane isomers, heptachlor and heptachlor epoxide). Evaluate cumulative risk if other contaminants present. Run SPLP batch test if soil leaching action level exceeded."
106-47-8,"CHLOROANILINE, p-",0.000001,0.000001,0.00001,0.2,N,NV,Y,112.70,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
108-90-7,CHLOROBENZENE,,,,0.2,N,V,Y,233.90,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
75-00-3,CHLOROETHANE,0.000001,0.000001,0.000001,0.2,N,V,Y,21.73,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
67-66-3,CHLOROFORM,0.000001,0.000001,0.000001,0.2,N,V,Y,31.82,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
74-87-3,CHLOROMETHANE,0.000001,0.000001,0.000001,0.2,N,V,Y,13.22,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
95-57-8,"CHLOROPHENOL, 2-",,,,0.2,N,V,Y,388.00,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
7440-47-3,CHROMIUM (Total),0.000001,0.000001,0.00001,0.2,Y,NV,Y, ,2,"Naturally background in Hawai'i can exceed 1,100 mg/kg (default assumed background).  Natural background may be lower in coastal sedimentary cap rock areas (<100 mg/kg).  Speciate for both Cr III and Cr VI if Cr VI suspected to have been released at site in past (Cr III not toxic)."
16065-83-1,CHROMIUM III,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
18540-29-9,CHROMIUM VI,0.0001,0.0001,0.0001,0.2,Y,NV,Y, ,2,Naturally present at trace levels in soil and groundwater.  Action levels reflect target cancer risk of 10-4.
218-01-9,CHRYSENE,0.0001,0.00001,0.00001,0.2,N,NV,Y,180500.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
7440-48-4,COBALT,0.000001,0.000001,0.00001,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
7440-50-8,COPPER,,,,0.2,Y,NV,Y, ,2,Naturally occurring metal.  Action levels for leaching of metals from soil and subsequent contamination of groundwater not developed.  Batch tests and/or groundwater monitoring recommended if soil background exceeded (see Advanced EHE Options tab of Surfer).
57-12-5,CYANIDE (Free),,,,0.2,N,V,Y, ,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
121-82-4,"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",0.000001,0.000001,0.00001,0.2,N,NV,Y,89.07,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
75-99-0,DALAPON,,,,0.2,N,NV,Y,3.20,3,Potentially significant soil leaching hazard and subsequent contamination of groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer).
53-70-3,"DIBENZO(a,h)ANTHTRACENE",0.0001,0.00001,0.00001,0.2,N,NV,Y,1912000.00,5,Not anticipated to be significantly mobile in soil or groundwater.  Batch tests recommended if soil leaching action level exceeded (see Advanced EHE Options tab of Surfer). Evaluate potential surface runoff hazards into aquatic habitats.
96-12-8,"DIBROMO-3-CHLOROPROPANE, 1,2-",0.000001,0.000001,0.000001,0.2,N,V,Y,115.80,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
124-48-1,DIBROMOCHLOROMETHANE,0.000001,0.000001,0.000001,0.2,N,V,Y,31.82,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
106-93-4,"DIBROMOETHANE, 1,2-",0.000001,0.000001,0.000001,0.2,N,V,Y,39.60,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
95-50-1,"DICHLOROBENZENE, 1,2-",,,,0.2,N,V,Y,382.90,1,Volatile chemical. Collect soil gas data for site-specific evaluation of vapor intrusion hazards if Tier 1 action levels for this hazard exceeded (see Advanced EHE Options tab of Surfer).
